crop,year,market_price_per_quintal,msp_price_per_quintal
Sugarcane,2012,5239.76,4377.31
Wheat,2010,2793.26,5346.47
Wheat,2016,1889.79,1657.9
Sugarcane,2024,1208.15,2620.77
Sugarcane,2011,4693.86,1943.11
Pulses,2014,2174.33,5487.38
Pulses,2022,3117.33,5361.14
Wheat,2014,2041.15,1707.32
Oilseeds,2012,3867.74,2112.73
Pulses,2018,1905.16,1468.04
Sugarcane,2013,4130.02,3794.92
Rice,2024,4561.81,2788.78
Rice,2015,1340.48,5178.98
Wheat,2015,5517.83,2413.76
Pulses,2013,5290.44,3082.9
Wheat,2017,5789.92,4416.57
Sugarcane,2013,1719.32,2182.93
Oilseeds,2013,5700.82,1262.79
Cotton,2022,5961.25,3236.47
Maize,2013,2825.37,3337.92
Maize,2021,1297.18,4256.77
Cotton,2019,5452.32,3548.18
Cotton,2018,1728.97,4426.93
Cotton,2021,2786.77,5061.93
Rice,2015,3427.67,4262.0
Wheat,2015,3430.13,4621.76
Maize,2010,4119.2,1779.43
Sugarcane,2012,1987.85,1725.28
Oilseeds,2019,2519.7,2692.87
Cotton,2018,2624.18,1478.12
Wheat,2021,2263.56,3331.55
Maize,2022,5965.76,3651.33
Maize,2019,5269.68,2274.8
Wheat,2013,5201.48,5477.44
Rice,2012,2796.56,4504.94
Cotton,2015,3663.71,4409.34
Sugarcane,2017,1139.07,3857.78
Maize,2019,1757.35,1954.1
Pulses,2012,5906.61,1823.98
Sugarcane,2023,3002.71,1647.85
Oilseeds,2010,3304.83,4505.67
Wheat,2019,3700.03,2544.35
Pulses,2013,5427.69,1881.02
Pulses,2010,5431.62,5055.87
Oilseeds,2015,4742.99,4675.82
Pulses,2021,3759.6,1016.42
Sugarcane,2013,3635.27,2196.98
Rice,2023,3695.45,2846.8
Cotton,2013,5008.61,1884.62
Sugarcane,2016,5964.4,3044.04
Pulses,2023,1754.96,3402.87
Cotton,2020,5369.41,3292.57
Wheat,2016,4549.84,3158.78
Sugarcane,2014,2769.22,4808.17
Maize,2015,2223.24,931.89
Pulses,2021,1339.46,1080.67
Rice,2021,1625.6,4915.64
Maize,2012,3754.31,4488.86
Maize,2018,1368.76,4293.99
Maize,2013,4308.28,2148.52
Pulses,2017,3682.89,1341.59
Sugarcane,2024,3479.93,2058.35
Cotton,2010,2508.01,5135.06
Sugarcane,2024,4013.89,2360.58
Pulses,2012,1328.43,3597.61
Pulses,2016,4448.58,3396.99
Rice,2012,5456.81,1100.04
Sugarcane,2019,4336.73,4512.12
Cotton,2011,5059.9,2567.37
Sugarcane,2022,1874.91,1114.73
Rice,2019,2693.12,1870.83
Pulses,2019,5324.77,2904.11
Pulses,2018,2200.21,4793.8
Rice,2016,3957.73,2534.4
Pulses,2019,3834.92,3750.0
Pulses,2022,3548.77,3298.69
Pulses,2019,4498.96,2531.92
Maize,2014,4336.47,1408.78
Wheat,2023,3328.62,4918.39
Wheat,2014,4505.32,5058.42
Cotton,2021,3836.64,1759.74
Pulses,2017,5527.66,1246.96
Rice,2023,4419.67,5427.5
Sugarcane,2022,3544.01,3231.47
Sugarcane,2018,2504.09,2161.72
Sugarcane,2021,3848.77,1321.49
Sugarcane,2016,5693.37,3779.24
Wheat,2012,5886.69,3963.53
Rice,2018,2103.09,4874.37
Pulses,2018,1791.04,1587.9
Rice,2014,4645.38,5395.75
Cotton,2015,5394.82,4575.21
Sugarcane,2014,5539.45,5226.01
Maize,2020,3506.66,1567.32
Rice,2015,3118.22,4740.11
Cotton,2015,3933.61,3978.27
Pulses,2010,3067.93,1891.95
Wheat,2013,4098.67,4697.25
Pulses,2023,3494.62,4327.57
Maize,2017,3085.56,3798.37
Cotton,2010,1509.84,5438.54
Pulses,2016,4687.38,3707.68
Wheat,2016,3174.6,3678.51
Pulses,2012,3520.82,3749.77
Wheat,2018,935.46,3406.23
Maize,2019,5000.95,5296.73
Rice,2010,2239.0,5032.57
Sugarcane,2022,4242.67,4194.15
Wheat,2013,2475.96,4713.91
Rice,2017,4352.04,2745.79
Oilseeds,2010,5885.88,5364.88
Pulses,2018,5606.34,4038.46
Sugarcane,2023,2650.03,5269.67
Wheat,2022,905.56,3160.95
Pulses,2015,1979.98,944.35
Pulses,2015,2392.94,1775.75
Sugarcane,2020,1821.19,4139.36
Pulses,2012,5408.59,3267.96
Wheat,2024,2404.4,4588.76
Oilseeds,2011,2751.73,2328.27
Rice,2022,2166.47,5181.33
Pulses,2012,3496.49,1263.43
Oilseeds,2012,3856.63,4899.8
Sugarcane,2022,5418.24,3786.68
Pulses,2024,4413.57,4753.56
Maize,2022,3265.46,4033.31
Rice,2014,2541.26,4851.13
Maize,2011,800.9,3130.76
Sugarcane,2024,3904.17,3452.44
Sugarcane,2010,1442.76,961.28
Cotton,2013,4286.31,4452.85
Maize,2024,5448.42,1414.58
Pulses,2018,2930.5,3718.19
Pulses,2015,2400.52,2947.58
Maize,2015,3532.36,5361.6
Maize,2017,2276.28,2462.76
Rice,2022,1379.39,4226.19
Pulses,2013,4881.62,4502.41
Oilseeds,2014,2165.39,5413.32
Oilseeds,2012,1249.94,1662.81
Rice,2012,1882.7,4498.44
Wheat,2017,2536.25,2575.23
Cotton,2014,4686.8,2707.05
Cotton,2010,5804.78,3384.33
Pulses,2016,2295.23,2696.26
Maize,2023,4831.44,3343.6
Oilseeds,2024,1560.89,3147.1
Rice,2012,5885.49,1386.33
Cotton,2024,1817.17,1009.68
Sugarcane,2021,4223.88,1235.38
Cotton,2017,825.54,4084.16
Maize,2017,4996.35,4157.65
Rice,2013,4694.07,2433.51
Rice,2014,2276.34,1742.5
Cotton,2014,1217.14,4068.71
Sugarcane,2010,3071.66,1669.82
Pulses,2012,1042.3,4565.0
Pulses,2011,1060.14,3302.9
Maize,2015,5127.33,1062.09
Rice,2020,3611.3,2523.26
Sugarcane,2012,1306.66,5140.82
Wheat,2012,5715.78,3836.69
Maize,2022,3998.45,4874.38
Wheat,2014,5088.05,4339.86
Sugarcane,2024,4192.2,4111.01
Oilseeds,2012,5210.02,1172.23
Wheat,2024,2165.59,3354.64
Rice,2022,2406.45,2649.51
Cotton,2010,3077.98,3373.9
Rice,2016,3785.73,2487.02
Oilseeds,2021,1665.19,5378.73
Cotton,2017,4147.67,5200.39
Pulses,2013,5762.66,4944.3
Pulses,2023,5332.43,1889.09
Cotton,2013,2212.45,4116.91
Sugarcane,2018,3290.31,4816.9
Cotton,2020,3659.34,3711.76
Oilseeds,2019,4086.47,4513.22
Wheat,2023,4403.43,3373.33
Cotton,2022,4685.85,3127.51
Oilseeds,2019,5034.73,4024.26
Sugarcane,2020,1294.23,2223.04
Maize,2018,5244.35,5009.47
Rice,2020,2200.88,2376.21
Maize,2020,2493.97,1169.7
Cotton,2024,2071.88,4138.0
Sugarcane,2014,3299.54,5113.41
Rice,2010,2159.89,2624.76
Maize,2013,4215.38,1993.52
Cotton,2023,2585.46,3040.55
Maize,2021,4478.91,4843.67
Cotton,2011,5016.49,3704.61
Sugarcane,2022,3370.27,3386.88
Rice,2018,4319.33,5287.17
Cotton,2018,5560.86,3159.55
Pulses,2013,5319.35,1874.58
Pulses,2015,2754.71,2261.99
Wheat,2021,5006.56,3132.44
Pulses,2024,3486.42,2792.59
Maize,2010,2249.51,2845.42
Sugarcane,2014,2798.31,2588.71
Wheat,2017,3799.07,5268.34
Cotton,2011,4017.09,910.73
Cotton,2015,5448.85,3671.82
Oilseeds,2018,1174.62,4389.82
Cotton,2010,2604.84,3460.39
Rice,2015,2022.04,4873.63
Maize,2024,1331.69,5314.08
Cotton,2021,1677.05,1613.72
Maize,2016,2535.36,2547.31
Maize,2016,3987.32,2663.38
Sugarcane,2010,4606.32,5077.04
Wheat,2018,3383.76,4211.5
Rice,2024,1265.7,4762.15
Sugarcane,2022,4816.53,5019.46
Sugarcane,2010,3483.76,957.52
Wheat,2010,4817.74,2339.13
Wheat,2022,2114.54,1745.38
Oilseeds,2016,2216.27,5447.75
Pulses,2013,1884.79,2543.84
Rice,2023,1841.14,3508.91
Oilseeds,2017,3348.14,1331.08
Maize,2015,3601.9,3451.2
Cotton,2023,1627.15,4424.47
Maize,2014,5974.14,3985.01
Maize,2022,3308.02,3483.17
Oilseeds,2017,2637.7,1867.88
Sugarcane,2015,5220.09,4030.12
Pulses,2011,5034.24,1228.48
Wheat,2013,2016.24,1477.69
Cotton,2013,5183.55,2253.77
Pulses,2015,2273.74,2037.4
Pulses,2024,1151.75,2152.08
Cotton,2010,974.44,2649.48
Rice,2015,3507.65,1204.64
Sugarcane,2017,2565.63,2905.97
Wheat,2011,4772.69,3849.7
Pulses,2014,3586.19,3740.96
Wheat,2019,4850.45,1195.81
Wheat,2023,4372.33,2550.45
Sugarcane,2024,5925.6,3030.0
Rice,2023,3303.97,1429.78
Rice,2024,2560.47,3782.48
Pulses,2017,1747.76,4285.01
Maize,2017,4220.62,935.71
Cotton,2012,3603.64,4728.48
Sugarcane,2012,4479.9,3695.59
Rice,2014,4870.02,924.27
Wheat,2020,4188.23,3944.11
Cotton,2015,5055.85,4654.81
Rice,2022,1903.35,4932.96
Rice,2014,5484.01,3188.58
Oilseeds,2014,2043.65,2537.91
Cotton,2017,2528.24,2479.1
Oilseeds,2013,1452.95,1232.71
Wheat,2021,1718.89,2076.09
Rice,2016,4464.37,1836.43
Cotton,2022,1563.73,3807.11
Wheat,2017,5935.0,1677.15
Pulses,2021,5704.81,4117.18
Rice,2021,1155.8,3902.02
Cotton,2013,4904.71,3094.14
Wheat,2024,2765.95,973.64
Sugarcane,2015,4997.39,2625.74
Rice,2011,1144.74,1443.58
Cotton,2012,4046.46,4596.11
Pulses,2010,4529.03,4828.95
Sugarcane,2017,5202.87,1099.15
Maize,2024,5420.85,3098.3
Maize,2015,857.56,4328.55
Wheat,2017,4685.44,2324.55
Maize,2019,1561.58,3380.71
Wheat,2019,3581.25,4703.37
Pulses,2014,2730.46,2812.13
Sugarcane,2015,1965.09,1553.0
Oilseeds,2010,2376.09,5142.57
Wheat,2022,2156.46,2707.49
Wheat,2011,1979.53,2525.71
Sugarcane,2022,4186.29,3709.65
Sugarcane,2022,2598.33,4711.91
Sugarcane,2016,5448.97,5353.11
Sugarcane,2013,3609.45,3826.62
Cotton,2011,3495.06,2485.31
Wheat,2019,5605.88,2916.61
Wheat,2013,5364.79,4045.64
Oilseeds,2021,948.49,5350.91
Maize,2011,3965.44,5425.54
Oilseeds,2014,3956.86,3980.18
Oilseeds,2011,5606.55,2565.62
Wheat,2016,4509.44,2904.22
Rice,2023,3127.13,5213.76
Oilseeds,2013,1080.85,4254.68
Rice,2015,1246.13,2457.76
Rice,2018,3223.85,3270.85
Rice,2013,5914.32,3134.15
Pulses,2012,5954.94,4781.17
Wheat,2020,3282.67,968.32
Oilseeds,2017,5396.83,4282.34
Sugarcane,2024,1905.24,1724.2
Maize,2011,2429.81,2343.07
Pulses,2012,2785.85,3964.45
Oilseeds,2020,4434.95,4631.02
Oilseeds,2018,5086.36,4270.43
Sugarcane,2022,2838.67,2188.27
Pulses,2014,3222.91,3289.41
Oilseeds,2014,1187.13,2348.52
Oilseeds,2024,2247.53,3028.48
Wheat,2011,4985.07,3723.85
Pulses,2015,1015.97,1169.43
Maize,2018,4727.21,5305.75
Pulses,2017,3438.2,3421.46
Pulses,2016,2207.26,2933.48
Oilseeds,2011,3232.48,3095.79
Pulses,2010,3144.85,4739.13
Pulses,2014,5873.48,1443.36
Oilseeds,2023,4457.3,5064.58
Oilseeds,2010,2947.1,1967.13
Pulses,2023,5657.72,4077.78
Rice,2020,5580.48,3459.78
Pulses,2014,3459.01,4411.0
Pulses,2013,5680.53,1601.7
Oilseeds,2023,3995.57,4657.55
Wheat,2010,4586.73,3892.15
Sugarcane,2020,3224.99,4481.74
Maize,2021,4046.37,3146.52
Pulses,2013,2844.35,4708.18
Wheat,2022,1610.73,4481.44
Oilseeds,2024,2648.82,1676.06
Pulses,2020,2842.68,5347.1
Wheat,2013,4828.89,5370.07
Cotton,2013,2888.38,5421.76
Oilseeds,2013,3261.29,1353.48
Wheat,2022,4753.75,4340.79
Pulses,2010,3584.62,3843.91
Pulses,2022,2590.36,5385.76
Cotton,2024,838.26,3701.66
Pulses,2015,4681.49,4048.32
Oilseeds,2014,5591.23,1147.76
Wheat,2011,828.31,2404.87
Maize,2015,4268.0,3803.87
Oilseeds,2024,3467.59,2279.27
Maize,2018,5115.43,2874.65
Wheat,2011,1669.95,4828.67
Oilseeds,2018,2635.24,5359.4
Rice,2022,1288.96,5411.0
Oilseeds,2021,2210.54,3220.51
Wheat,2023,3295.04,3025.46
Rice,2011,5574.97,2891.59
Maize,2013,1883.72,909.78
Rice,2014,4388.26,3747.4
Wheat,2018,4477.92,1178.99
Pulses,2017,1424.74,5116.92
Oilseeds,2015,5871.71,2421.97
Maize,2018,1689.82,3261.1
Pulses,2015,1093.42,5060.05
Wheat,2020,5831.45,4153.49
Wheat,2010,2756.42,1487.4
Cotton,2017,2294.28,4085.07
Maize,2018,2317.04,3639.85
Sugarcane,2014,875.6,4521.38
Oilseeds,2018,4292.75,1276.13
Pulses,2016,4758.47,5312.43
Rice,2022,3110.82,1186.81
Oilseeds,2020,1914.52,3052.41
Maize,2012,3145.53,4077.13
Cotton,2010,5698.04,4222.97
Rice,2019,1639.53,2116.06
Cotton,2011,1150.39,3849.78
Sugarcane,2021,2658.04,1138.82
Rice,2017,5512.87,2486.98
Oilseeds,2013,2727.6,5195.2
Maize,2016,4561.51,3007.86
Oilseeds,2012,996.14,4836.47
Sugarcane,2024,2560.76,1571.35
Pulses,2022,3845.5,2995.86
Maize,2021,3491.44,3709.04
Maize,2015,3674.5,2330.43
Wheat,2021,3000.6,5404.96
Rice,2023,3995.51,3242.23
Sugarcane,2016,5097.43,2176.46
Maize,2016,1221.33,3950.1
Pulses,2013,2819.46,4791.91
Sugarcane,2024,4551.72,2392.72
Rice,2020,4912.62,2978.41
Maize,2014,4040.21,5256.64
Oilseeds,2024,2843.26,1530.04
Maize,2022,2174.84,1779.6
Oilseeds,2023,3364.68,5493.61
Pulses,2020,2591.94,2916.98
Rice,2024,4309.89,3471.64
Rice,2015,4512.94,3266.38
Oilseeds,2011,3556.47,3802.38
Pulses,2021,4997.7,2957.59
Maize,2012,1439.69,2519.7
Oilseeds,2017,5408.4,2621.63
Wheat,2019,1457.64,3757.26
Wheat,2016,4355.84,2892.32
Cotton,2019,2884.09,2838.11
Wheat,2019,3121.45,2390.06
Wheat,2016,5608.65,4694.34
Wheat,2019,3568.82,1649.38
Pulses,2013,1614.45,3683.22
Sugarcane,2019,4484.4,5371.25
Maize,2017,5371.09,1792.45
Pulses,2012,5610.22,2819.17
Cotton,2014,2891.62,4202.15
Oilseeds,2014,5028.69,2881.52
Rice,2011,4595.09,946.68
Cotton,2011,5470.4,4156.65
Maize,2018,4660.29,4199.66
Maize,2011,5205.72,4370.05
Sugarcane,2012,2966.08,3244.47
Sugarcane,2017,3321.08,2295.16
Rice,2022,1876.13,4489.91
Pulses,2023,4166.29,2128.58
Cotton,2010,1401.8,1828.0
Pulses,2015,2243.34,2129.66
Cotton,2015,4528.41,2069.48
Wheat,2019,5504.69,2503.63
Oilseeds,2022,4963.36,5471.71
Cotton,2013,3779.63,1397.35
Rice,2019,5646.33,2918.28
Pulses,2014,4109.66,5105.25
Cotton,2014,1916.81,931.27
Rice,2021,3047.75,5110.06
Wheat,2014,5310.46,1366.36
Maize,2016,5609.39,2945.2
Sugarcane,2020,5541.24,1910.57
Maize,2012,1018.16,3949.14
Rice,2013,4150.6,5427.13
Sugarcane,2022,3391.24,4475.05
Oilseeds,2023,3110.84,4363.74
Rice,2013,1193.05,3053.57
Wheat,2014,2787.11,3548.39
Sugarcane,2020,3220.07,3357.96
Maize,2010,2372.46,2591.91
Cotton,2012,4849.71,5355.27
Cotton,2014,1868.33,4963.45
Oilseeds,2012,2745.69,5000.45
Sugarcane,2017,3476.87,2098.64
Wheat,2024,3586.4,4346.26
Oilseeds,2022,1592.09,3467.38
Oilseeds,2021,1157.0,3534.19
Rice,2019,5364.81,1664.79
Cotton,2010,1444.28,2992.46
Wheat,2017,4156.71,3167.17
Rice,2017,4529.85,4060.57
Pulses,2016,4906.11,3667.9
Sugarcane,2014,1285.17,2029.93
Pulses,2021,2352.71,1197.48
Wheat,2010,1823.83,4780.25
Sugarcane,2023,1048.52,3738.08
Oilseeds,2012,4046.39,3472.43
Pulses,2015,1582.61,1748.02
Sugarcane,2013,1780.48,5285.61
Maize,2018,3043.9,4111.8
Pulses,2015,1412.66,3947.86
Maize,2014,4075.02,2611.25
Sugarcane,2018,4856.17,3202.9
Wheat,2011,3954.47,4401.13
Oilseeds,2021,2998.13,2558.0
Maize,2019,5119.66,5256.74
Oilseeds,2018,5024.17,2658.65
Rice,2022,5530.1,2553.52
Rice,2021,5507.4,3043.12
Wheat,2011,5008.3,3568.55
Rice,2022,3738.87,2791.39
Sugarcane,2024,882.01,1649.63
Rice,2022,4574.3,2825.73
Oilseeds,2022,3310.26,3773.35
Pulses,2021,1245.14,1215.23
Maize,2014,4593.73,5041.09
Rice,2024,2932.14,3328.51
Rice,2024,2673.27,3435.01
Rice,2024,5001.29,3952.54
Sugarcane,2019,2320.1,2414.42
Wheat,2022,2200.98,2323.98
Oilseeds,2014,2032.12,2027.76
Wheat,2014,2114.25,4817.52
Pulses,2019,3728.53,3688.24
Oilseeds,2022,5021.64,1057.18
Oilseeds,2010,5792.95,2409.63
Oilseeds,2021,843.7,1327.39
Cotton,2015,1965.04,1544.33
Pulses,2021,3222.31,3726.06
Pulses,2012,5941.71,1203.05
Maize,2022,5293.12,5197.29
Wheat,2012,2448.26,4217.45
Cotton,2019,2573.01,4925.64
Pulses,2010,941.07,5475.06
Rice,2018,4584.18,2210.71
Pulses,2010,4798.51,4358.07
Sugarcane,2014,2018.61,3678.01
Rice,2017,5089.86,5250.22
Pulses,2024,3468.34,4217.89
Sugarcane,2023,3223.5,3394.16
Oilseeds,2023,2973.01,1090.78
Maize,2021,3890.39,2500.3
Pulses,2021,3703.76,1984.48
Wheat,2011,4563.98,1731.91
Maize,2019,3277.73,2789.61
Oilseeds,2012,2026.99,3243.49
Wheat,2024,1541.35,2842.29
Wheat,2014,1824.14,2166.13
Pulses,2013,2591.55,4106.52
Rice,2023,5683.2,2285.35
Sugarcane,2023,4423.95,3262.16
Rice,2016,2993.09,4702.78
Maize,2015,1616.69,2751.55
Cotton,2010,4614.06,5442.67
Sugarcane,2021,3010.53,2680.48
Maize,2023,4802.12,2520.53
Maize,2014,5065.45,2922.51
Oilseeds,2010,3849.31,2497.13
Rice,2012,5031.84,3957.32
Cotton,2023,3812.7,4430.01
Oilseeds,2015,3431.29,2176.34
Wheat,2010,4788.34,1509.21
Cotton,2021,2966.11,3913.45
Oilseeds,2022,4028.19,1865.75
Sugarcane,2011,2799.36,3568.25
Cotton,2015,5672.82,3554.14
Oilseeds,2024,4473.79,2344.71
Wheat,2014,5330.79,3983.34
Sugarcane,2023,3539.29,3214.5
Wheat,2023,5410.72,910.29
Maize,2020,3672.28,3761.89
Wheat,2010,4725.16,2364.83
Oilseeds,2024,4676.85,3584.77
Wheat,2024,1256.88,3081.86
Oilseeds,2023,2713.3,4183.3
Maize,2019,5946.93,1592.65
Oilseeds,2019,1913.38,2743.53
Wheat,2015,2662.03,2559.05
Rice,2010,5884.35,3871.55
Rice,2022,2521.85,2537.09
Cotton,2010,5087.1,1305.03
Pulses,2014,3058.5,2288.47
Wheat,2017,5658.61,5120.57
Wheat,2011,3915.77,4900.49
Cotton,2015,5853.46,1157.29
Rice,2014,1375.74,4297.28
Wheat,2016,2207.86,2860.62
Oilseeds,2010,3910.72,3589.7
Rice,2013,1388.69,3064.24
Oilseeds,2017,4655.95,4308.03
Wheat,2020,5647.46,2406.71
Maize,2022,4116.06,4149.13
Rice,2014,4444.3,3622.17
Maize,2020,1615.73,4947.23
Cotton,2014,4122.08,3058.85
Sugarcane,2017,3060.82,3075.28
Pulses,2020,4721.41,1405.0
Maize,2016,2391.81,1145.28
Oilseeds,2022,4255.85,2958.7
Maize,2022,1201.73,3363.4
Rice,2021,2414.96,1546.9
Pulses,2015,3916.42,4958.27
Cotton,2023,3770.24,1569.89
Wheat,2012,3829.47,3757.51
Rice,2011,3221.08,3961.18
Sugarcane,2011,3945.4,2630.21
Wheat,2010,2258.61,1297.04
Oilseeds,2012,3122.8,2805.66
Cotton,2022,1621.94,1212.98
Sugarcane,2011,2643.72,987.18
Maize,2010,4228.43,3901.77
Sugarcane,2013,3740.91,3170.07
Rice,2010,986.89,1195.17
Wheat,2014,4474.46,3664.18
Wheat,2018,3902.73,1778.03
Maize,2024,2829.2,3662.54
Oilseeds,2019,3913.14,4565.57
Oilseeds,2022,1110.16,4129.86
Cotton,2013,4715.14,3095.73
Pulses,2019,3959.25,1013.04
Oilseeds,2013,2056.69,3907.68
Wheat,2014,919.67,5340.12
Pulses,2013,4114.64,1433.54
Oilseeds,2018,5321.0,1391.14
Maize,2010,1395.2,4238.11
Cotton,2010,5462.18,4286.25
Cotton,2016,5152.45,4462.0
Cotton,2021,3270.8,5356.99
Sugarcane,2023,2810.87,1336.1
Wheat,2014,2022.73,2480.89
Cotton,2015,1116.5,2334.04
Cotton,2024,2226.69,1963.32
Pulses,2010,5061.15,3999.78
Wheat,2022,3305.28,2454.31
Cotton,2011,1028.81,1536.57
Sugarcane,2023,3504.14,3948.59
Maize,2015,4608.23,1691.09
Sugarcane,2011,4720.14,4917.8
Pulses,2014,5227.28,4527.17
Oilseeds,2019,4544.46,4231.44
Oilseeds,2020,841.04,2467.25
Maize,2020,2969.89,4078.07
Wheat,2012,2544.17,3827.55
Pulses,2016,3167.77,2256.54
Wheat,2016,4922.2,1268.18
Maize,2014,998.88,4518.64
Maize,2019,4292.75,1008.96
Pulses,2021,2912.78,1880.13
Wheat,2022,5992.03,2285.44
Sugarcane,2019,2316.46,1474.56
Cotton,2016,3346.9,1649.03
Rice,2011,5725.67,1116.82
Rice,2014,1660.67,5340.34
Sugarcane,2021,3793.34,3824.0
Oilseeds,2024,4046.2,4386.38
Wheat,2010,4019.1,2562.11
Oilseeds,2012,4766.03,4291.65
Oilseeds,2013,1504.87,3579.7
Rice,2014,4509.71,4445.49
Pulses,2010,1642.32,4392.22
Maize,2018,3051.89,3921.44
Rice,2020,5544.05,4124.63
Wheat,2020,1629.87,2891.93
Maize,2019,4457.63,3428.47
Wheat,2024,4141.04,1796.53
Sugarcane,2023,4583.73,2452.56
Rice,2019,5516.81,3584.26
Pulses,2011,4997.22,2272.53
Wheat,2012,3630.2,3051.65
Sugarcane,2012,1873.89,4014.18
Pulses,2021,1577.93,5397.95
Oilseeds,2019,1130.88,3479.02
Pulses,2024,3330.57,3761.22
Sugarcane,2010,5318.08,1238.95
Wheat,2013,1929.15,2922.63
Maize,2014,5496.34,4040.83
Cotton,2011,1602.68,1853.07
Cotton,2010,5425.57,1736.88
Wheat,2021,4424.69,5348.02
Sugarcane,2010,2181.38,1058.52
Pulses,2015,5893.34,5136.04
Rice,2015,3106.88,5180.05
Sugarcane,2024,1743.61,4170.11
Wheat,2015,4362.72,1222.64
Oilseeds,2019,1654.81,3220.49
Pulses,2023,5431.4,1473.42
Rice,2015,5601.08,1058.39
Oilseeds,2016,1169.27,4341.59
Maize,2017,3299.21,4463.46
Wheat,2018,1132.7,1486.44
Sugarcane,2019,2727.48,3658.15
Wheat,2018,4481.28,5239.72
Pulses,2023,2709.36,1753.58
Oilseeds,2014,5645.63,3988.25
Cotton,2021,2017.68,5447.79
Maize,2011,1737.84,2751.38
Pulses,2021,4196.62,1156.19
Sugarcane,2024,5558.29,2484.43
Wheat,2011,851.2,5215.34
Wheat,2018,5009.5,2764.48
Cotton,2015,3554.77,3563.0
Cotton,2022,1159.61,1183.84
Maize,2018,4239.71,4397.8
Sugarcane,2024,2984.29,4398.29
Pulses,2015,2988.4,3592.99
Pulses,2014,1258.55,1377.93
Rice,2018,4351.28,3584.94
Wheat,2021,1365.9,913.44
Wheat,2019,3321.98,5378.3
Maize,2011,5120.18,3802.39
Pulses,2017,4672.48,1438.11
Pulses,2022,1890.74,971.29
Maize,2024,5067.09,1987.22
Pulses,2017,5382.19,4553.07
Maize,2017,4647.3,2461.88
Pulses,2013,5974.3,4732.2
Maize,2024,1200.85,1751.27
Maize,2020,1183.89,4916.43
Oilseeds,2016,4060.55,3330.26
Wheat,2012,2512.71,4623.12
Pulses,2024,3084.14,1920.94
Sugarcane,2020,4625.26,4346.03
Wheat,2012,5502.93,5257.49
Rice,2010,2037.61,2644.8
Sugarcane,2017,1715.94,5113.41
Cotton,2014,4705.53,1366.19
Sugarcane,2011,5216.52,2918.9
Maize,2014,4824.34,2059.16
Wheat,2012,1464.76,2077.26
Sugarcane,2024,4747.37,2631.26
Pulses,2012,3081.47,3334.24
Maize,2021,3967.71,2352.74
Wheat,2014,2891.77,2562.7
Wheat,2013,869.95,2963.78
Cotton,2024,5980.54,1996.93
Oilseeds,2021,1714.38,4598.31
