state,district,crop,season,year,area_hectares,production_tonnes,yield_tonnes_per_hectare
Madhya Pradesh,District_21,Cotton,Rabi,2018,1884.48,7283.79,3.87
Karnataka,District_11,Sugarcane,Rabi,2016,2828.34,5841.66,2.07
Tamil Nadu,District_38,Sugarcane,Zaid,2012,4738.02,4921.92,1.04
Andhra Pradesh,District_8,Rice,Zaid,2021,3816.39,5446.31,1.43
Karnataka,District_42,Oilseeds,Zaid,2022,3450.94,2755.17,0.8
Telangana,District_24,Wheat,Zaid,2016,2108.89,3350.2,1.59
Punjab,District_35,Rice,Zaid,2022,1472.43,12174.66,8.27
Tamil Nadu,District_14,Pulses,Zaid,2010,2724.31,5914.6,2.17
Karnataka,District_14,Maize,Kharif,2011,4432.95,8053.74,1.82
Andhra Pradesh,District_10,Cotton,Rabi,2013,4389.88,8298.13,1.89
Andhra Pradesh,District_12,Oilseeds,Rabi,2016,2255.3,2283.78,1.01
Maharashtra,District_38,Sugarcane,Zaid,2024,1268.79,16407.93,12.93
Maharashtra,District_44,Wheat,Kharif,2018,1165.46,19131.56,16.42
Uttar Pradesh,District_46,Sugarcane,Zaid,2024,218.24,5344.48,24.49
Telangana,District_34,Oilseeds,Kharif,2014,4221.19,5958.76,1.41
Madhya Pradesh,District_41,Pulses,Kharif,2024,1360.95,13893.76,10.21
Karnataka,District_10,Rice,Rabi,2017,1827.05,1703.71,0.93
Karnataka,District_17,Oilseeds,Rabi,2016,4055.62,18155.73,4.48
Madhya Pradesh,District_17,Rice,Kharif,2014,644.12,2499.73,3.88
Uttar Pradesh,District_3,Cotton,Rabi,2022,2333.11,14668.04,6.29
Punjab,District_31,Wheat,Kharif,2012,655.59,5901.15,9.0
Punjab,District_1,Pulses,Kharif,2012,2237.15,6532.97,2.92
Uttar Pradesh,District_12,Wheat,Kharif,2022,283.34,2902.81,10.24
Punjab,District_39,Cotton,Rabi,2015,2612.23,12962.12,4.96
Maharashtra,District_4,Pulses,Zaid,2019,3988.76,15920.39,3.99
Karnataka,District_42,Pulses,Rabi,2020,3397.67,19009.81,5.59
Uttar Pradesh,District_13,Rice,Zaid,2013,2570.39,6697.83,2.61
Karnataka,District_34,Rice,Rabi,2012,4152.36,12461.5,3.0
Madhya Pradesh,District_42,Rice,Rabi,2013,1177.55,8358.36,7.1
Andhra Pradesh,District_21,Sugarcane,Zaid,2012,4162.44,11201.09,2.69
Maharashtra,District_22,Maize,Kharif,2022,1418.0,3342.34,2.36
Tamil Nadu,District_4,Oilseeds,Zaid,2024,1844.31,11676.88,6.33
Maharashtra,District_18,Rice,Kharif,2021,685.73,16996.74,24.79
Uttar Pradesh,District_5,Maize,Kharif,2024,553.69,17286.7,31.22
Tamil Nadu,District_19,Maize,Rabi,2024,4663.95,9719.45,2.08
Andhra Pradesh,District_2,Wheat,Rabi,2019,990.39,4791.35,4.84
Uttar Pradesh,District_12,Cotton,Rabi,2020,1699.82,16749.91,9.85
Telangana,District_17,Sugarcane,Rabi,2020,2669.3,19988.63,7.49
Karnataka,District_10,Maize,Rabi,2022,1771.94,7605.48,4.29
Andhra Pradesh,District_34,Oilseeds,Zaid,2021,4357.16,18494.94,4.24
Karnataka,District_6,Sugarcane,Zaid,2015,4508.54,19670.86,4.36
Punjab,District_8,Wheat,Zaid,2022,1663.65,7972.7,4.79
Telangana,District_11,Rice,Zaid,2016,505.54,14354.06,28.39
Telangana,District_12,Pulses,Rabi,2013,1090.28,11663.74,10.7
Andhra Pradesh,District_9,Maize,Zaid,2012,2398.24,14471.65,6.03
Telangana,District_2,Cotton,Zaid,2012,1477.98,3167.64,2.14
Tamil Nadu,District_8,Pulses,Kharif,2020,2294.69,7397.72,3.22
Telangana,District_11,Wheat,Rabi,2012,3805.58,1349.68,0.35
Karnataka,District_36,Sugarcane,Zaid,2018,2132.16,12303.0,5.77
Karnataka,District_10,Oilseeds,Zaid,2020,1025.14,18541.26,18.09
Uttar Pradesh,District_21,Rice,Zaid,2020,1821.94,11249.64,6.17
Karnataka,District_20,Sugarcane,Rabi,2023,3727.76,1499.6,0.4
Uttar Pradesh,District_48,Cotton,Zaid,2023,2149.11,18614.51,8.66
Karnataka,District_8,Maize,Kharif,2021,1285.21,2746.0,2.14
Tamil Nadu,District_36,Cotton,Rabi,2024,2165.69,17670.53,8.16
Madhya Pradesh,District_29,Sugarcane,Kharif,2012,2301.29,14313.12,6.22
Uttar Pradesh,District_42,Sugarcane,Rabi,2012,1517.07,12763.72,8.41
Maharashtra,District_12,Pulses,Zaid,2017,4978.64,11778.27,2.37
Punjab,District_14,Cotton,Rabi,2013,3849.75,2709.87,0.7
Andhra Pradesh,District_48,Cotton,Rabi,2016,3477.65,10066.79,2.89
Karnataka,District_50,Cotton,Rabi,2012,4281.59,4014.19,0.94
Telangana,District_21,Rice,Kharif,2017,3348.78,11478.5,3.43
Madhya Pradesh,District_22,Oilseeds,Rabi,2012,3965.35,9002.14,2.27
Karnataka,District_21,Sugarcane,Zaid,2014,2092.0,13625.54,6.51
Telangana,District_44,Wheat,Rabi,2010,2526.84,19651.69,7.78
Punjab,District_50,Rice,Rabi,2021,282.63,7284.21,25.77
Punjab,District_30,Rice,Zaid,2014,1439.2,12372.6,8.6
Punjab,District_39,Rice,Zaid,2015,1871.66,17301.7,9.24
Telangana,District_20,Pulses,Kharif,2016,3146.08,1949.24,0.62
Karnataka,District_24,Oilseeds,Zaid,2011,2347.85,16024.9,6.83
Punjab,District_23,Oilseeds,Zaid,2011,3058.8,4864.56,1.59
Tamil Nadu,District_7,Wheat,Zaid,2023,3580.97,10851.49,3.03
Uttar Pradesh,District_9,Cotton,Rabi,2018,261.46,19830.88,75.85
Telangana,District_1,Pulses,Kharif,2024,1328.47,19682.64,14.82
Telangana,District_26,Sugarcane,Zaid,2024,895.97,6384.37,7.13
Karnataka,District_38,Maize,Zaid,2019,977.9,2722.08,2.78
Telangana,District_38,Pulses,Zaid,2010,2540.47,18769.88,7.39
Telangana,District_44,Maize,Rabi,2011,3712.89,17881.24,4.82
Punjab,District_22,Sugarcane,Rabi,2011,1400.25,12359.03,8.83
Karnataka,District_44,Wheat,Kharif,2024,4131.02,744.97,0.18
Punjab,District_10,Oilseeds,Kharif,2022,4467.66,15050.48,3.37
Uttar Pradesh,District_6,Maize,Rabi,2024,1785.14,3301.02,1.85
Madhya Pradesh,District_17,Rice,Zaid,2019,3422.71,18866.12,5.51
Uttar Pradesh,District_50,Pulses,Zaid,2016,629.39,8759.01,13.92
Madhya Pradesh,District_38,Maize,Kharif,2015,3732.94,12340.8,3.31
Punjab,District_24,Sugarcane,Zaid,2018,866.87,5693.49,6.57
Uttar Pradesh,District_10,Oilseeds,Rabi,2020,3452.71,9554.01,2.77
Karnataka,District_8,Rice,Kharif,2024,2138.41,15117.25,7.07
Andhra Pradesh,District_21,Maize,Rabi,2016,4645.86,9891.13,2.13
Punjab,District_6,Oilseeds,Rabi,2012,2349.08,16959.23,7.22
Madhya Pradesh,District_21,Sugarcane,Zaid,2012,202.97,14289.25,70.4
Tamil Nadu,District_39,Wheat,Rabi,2010,2429.31,1639.46,0.67
Madhya Pradesh,District_24,Sugarcane,Rabi,2017,3987.72,12176.02,3.05
Tamil Nadu,District_33,Wheat,Zaid,2010,3253.07,12290.73,3.78
Telangana,District_18,Oilseeds,Rabi,2020,4833.26,7679.88,1.59
Uttar Pradesh,District_28,Oilseeds,Zaid,2023,4224.2,6522.21,1.54
Tamil Nadu,District_32,Rice,Rabi,2011,2656.43,1351.46,0.51
Madhya Pradesh,District_12,Sugarcane,Zaid,2020,1072.28,8978.51,8.37
Telangana,District_48,Cotton,Zaid,2021,68.68,6798.27,98.98
Andhra Pradesh,District_42,Pulses,Kharif,2016,4903.49,19026.15,3.88
Karnataka,District_27,Cotton,Rabi,2010,4694.68,13516.07,2.88
Karnataka,District_10,Cotton,Rabi,2021,1407.01,9255.22,6.58
Karnataka,District_46,Cotton,Kharif,2013,3209.17,15116.78,4.71
Tamil Nadu,District_42,Pulses,Zaid,2018,3659.74,15597.52,4.26
Andhra Pradesh,District_32,Cotton,Zaid,2017,2911.17,9661.07,3.32
Tamil Nadu,District_42,Wheat,Kharif,2024,4222.66,1607.58,0.38
Uttar Pradesh,District_26,Sugarcane,Kharif,2020,435.23,15632.97,35.92
Tamil Nadu,District_25,Oilseeds,Zaid,2023,4487.65,1896.65,0.42
Andhra Pradesh,District_11,Rice,Zaid,2022,1990.49,16965.39,8.52
Andhra Pradesh,District_23,Cotton,Kharif,2017,2429.42,6749.72,2.78
Uttar Pradesh,District_34,Oilseeds,Rabi,2021,2251.43,12801.0,5.69
Andhra Pradesh,District_40,Cotton,Zaid,2012,2679.87,14834.05,5.54
Madhya Pradesh,District_23,Rice,Kharif,2014,3010.93,800.33,0.27
Andhra Pradesh,District_29,Rice,Rabi,2024,3566.2,7753.82,2.17
Karnataka,District_31,Cotton,Rabi,2013,2648.45,12122.45,4.58
Madhya Pradesh,District_7,Wheat,Rabi,2020,3439.63,16978.07,4.94
Madhya Pradesh,District_40,Oilseeds,Rabi,2021,1724.57,14383.62,8.34
Uttar Pradesh,District_33,Rice,Kharif,2017,4686.57,17933.21,3.83
Maharashtra,District_21,Sugarcane,Zaid,2020,369.43,1746.18,4.73
Maharashtra,District_2,Oilseeds,Rabi,2016,2750.43,1529.26,0.56
Andhra Pradesh,District_18,Sugarcane,Rabi,2023,482.61,14299.15,29.63
Madhya Pradesh,District_47,Oilseeds,Kharif,2016,2241.7,8030.71,3.58
Maharashtra,District_33,Wheat,Rabi,2019,1325.03,9684.46,7.31
Maharashtra,District_37,Pulses,Kharif,2019,4687.67,12125.89,2.59
Andhra Pradesh,District_34,Maize,Kharif,2016,114.72,19720.24,171.9
Maharashtra,District_20,Wheat,Zaid,2010,1986.46,1436.61,0.72
Tamil Nadu,District_35,Cotton,Rabi,2022,3921.11,2267.01,0.58
Telangana,District_50,Maize,Zaid,2024,982.88,16603.33,16.89
Uttar Pradesh,District_18,Cotton,Kharif,2016,4087.16,508.43,0.12
Telangana,District_46,Sugarcane,Rabi,2013,4305.64,9064.05,2.11
Andhra Pradesh,District_24,Rice,Kharif,2021,3554.61,15504.95,4.36
Karnataka,District_8,Oilseeds,Kharif,2012,1084.89,3985.85,3.67
Uttar Pradesh,District_30,Cotton,Kharif,2022,1396.59,3821.5,2.74
Andhra Pradesh,District_44,Sugarcane,Rabi,2021,876.33,6274.02,7.16
Madhya Pradesh,District_10,Wheat,Kharif,2022,961.12,3085.21,3.21
Karnataka,District_23,Cotton,Kharif,2024,230.64,13603.2,58.98
Telangana,District_49,Sugarcane,Rabi,2014,4293.71,4082.74,0.95
Andhra Pradesh,District_11,Rice,Zaid,2011,2666.09,4614.47,1.73
Madhya Pradesh,District_2,Oilseeds,Kharif,2017,1672.41,11541.21,6.9
Uttar Pradesh,District_26,Cotton,Zaid,2021,1483.41,19350.09,13.04
Uttar Pradesh,District_36,Pulses,Zaid,2021,2746.25,18286.26,6.66
Punjab,District_33,Sugarcane,Zaid,2018,1667.09,17303.48,10.38
Madhya Pradesh,District_47,Cotton,Zaid,2014,4325.4,10665.38,2.47
Tamil Nadu,District_13,Rice,Zaid,2012,1094.24,6025.26,5.51
Maharashtra,District_40,Oilseeds,Zaid,2019,4417.39,14144.77,3.2
Karnataka,District_25,Cotton,Rabi,2016,3337.26,7852.59,2.35
Madhya Pradesh,District_4,Cotton,Rabi,2010,4785.31,15580.39,3.26
Punjab,District_42,Oilseeds,Zaid,2019,124.78,422.21,3.38
Maharashtra,District_19,Pulses,Rabi,2012,342.52,10637.85,31.06
Maharashtra,District_18,Sugarcane,Rabi,2018,2529.43,6813.27,2.69
Andhra Pradesh,District_37,Maize,Zaid,2011,4566.28,5056.08,1.11
Maharashtra,District_30,Oilseeds,Zaid,2020,3667.44,13270.55,3.62
Tamil Nadu,District_19,Cotton,Kharif,2023,3129.57,13201.63,4.22
Uttar Pradesh,District_23,Maize,Rabi,2018,206.43,837.64,4.06
Punjab,District_16,Wheat,Zaid,2020,1803.11,18959.21,10.51
Maharashtra,District_1,Cotton,Rabi,2010,1761.97,7300.88,4.14
Andhra Pradesh,District_12,Maize,Rabi,2013,2733.32,18356.42,6.72
Tamil Nadu,District_24,Wheat,Rabi,2021,1326.25,11716.03,8.83
Telangana,District_34,Pulses,Kharif,2019,1372.42,13086.55,9.54
Uttar Pradesh,District_8,Sugarcane,Zaid,2022,3123.26,19214.26,6.15
Uttar Pradesh,District_18,Cotton,Rabi,2015,4725.61,16461.73,3.48
Punjab,District_48,Sugarcane,Zaid,2024,3317.89,2886.7,0.87
Uttar Pradesh,District_5,Wheat,Rabi,2022,3357.24,203.9,0.06
Maharashtra,District_26,Sugarcane,Zaid,2016,4931.76,6240.89,1.27
Andhra Pradesh,District_30,Sugarcane,Zaid,2024,809.72,9821.9,12.13
Uttar Pradesh,District_13,Oilseeds,Zaid,2024,217.48,14669.78,67.45
Uttar Pradesh,District_19,Rice,Rabi,2012,3740.29,13254.86,3.54
Telangana,District_29,Wheat,Kharif,2018,2222.0,6325.84,2.85
Telangana,District_3,Sugarcane,Zaid,2013,2172.68,10885.72,5.01
Karnataka,District_26,Maize,Kharif,2014,1165.25,13053.57,11.2
Tamil Nadu,District_40,Wheat,Zaid,2017,2558.97,10323.63,4.03
Maharashtra,District_12,Rice,Kharif,2024,2238.75,13810.59,6.17
Uttar Pradesh,District_2,Cotton,Zaid,2021,1759.98,9755.84,5.54
Madhya Pradesh,District_11,Pulses,Kharif,2024,2241.59,10640.73,4.75
Uttar Pradesh,District_44,Sugarcane,Zaid,2023,1949.98,18821.43,9.65
Andhra Pradesh,District_28,Maize,Zaid,2012,4702.49,7844.25,1.67
Karnataka,District_18,Rice,Kharif,2017,4902.25,15138.58,3.09
Tamil Nadu,District_13,Wheat,Zaid,2023,4207.51,6760.06,1.61
Madhya Pradesh,District_37,Pulses,Rabi,2023,4952.55,6703.91,1.35
Karnataka,District_22,Pulses,Zaid,2020,1365.31,18540.76,13.58
Punjab,District_12,Sugarcane,Zaid,2010,4222.48,14003.56,3.32
Tamil Nadu,District_2,Rice,Rabi,2017,2062.81,18586.27,9.01
Uttar Pradesh,District_37,Rice,Rabi,2023,3743.38,19892.17,5.31
Uttar Pradesh,District_7,Maize,Rabi,2022,1046.89,104.04,0.1
Tamil Nadu,District_26,Cotton,Kharif,2024,4069.18,19664.69,4.83
Uttar Pradesh,District_26,Cotton,Rabi,2020,463.15,2107.33,4.55
Maharashtra,District_24,Oilseeds,Kharif,2020,1389.26,1501.19,1.08
Tamil Nadu,District_12,Cotton,Rabi,2024,4118.67,15379.42,3.73
Karnataka,District_16,Oilseeds,Kharif,2021,3748.44,7068.67,1.89
Tamil Nadu,District_23,Pulses,Rabi,2019,2531.17,18364.46,7.26
Madhya Pradesh,District_40,Pulses,Rabi,2017,3380.32,10935.68,3.24
Uttar Pradesh,District_9,Wheat,Zaid,2015,968.59,7783.62,8.04
Maharashtra,District_32,Pulses,Rabi,2014,3355.43,1561.4,0.47
Maharashtra,District_15,Pulses,Zaid,2018,89.48,9346.25,104.45
Punjab,District_37,Rice,Rabi,2015,4174.42,5630.16,1.35
Karnataka,District_13,Wheat,Rabi,2024,2605.62,1624.6,0.62
Telangana,District_5,Rice,Zaid,2010,4722.2,13440.73,2.85
Telangana,District_11,Maize,Zaid,2021,2416.91,19549.0,8.09
Tamil Nadu,District_10,Oilseeds,Kharif,2015,2193.78,7640.4,3.48
Punjab,District_13,Oilseeds,Zaid,2010,2277.76,6015.57,2.64
Andhra Pradesh,District_41,Maize,Kharif,2015,1830.66,1890.21,1.03
Tamil Nadu,District_46,Oilseeds,Rabi,2012,875.04,4540.59,5.19
Punjab,District_50,Wheat,Zaid,2015,4218.21,5770.95,1.37
Karnataka,District_15,Wheat,Zaid,2022,1975.97,6949.09,3.52
Karnataka,District_42,Pulses,Rabi,2015,2669.09,12715.94,4.76
Karnataka,District_7,Oilseeds,Rabi,2010,148.44,2385.97,16.07
Karnataka,District_40,Maize,Rabi,2022,348.26,1262.64,3.63
Karnataka,District_28,Sugarcane,Rabi,2018,3006.06,18618.58,6.19
Punjab,District_32,Cotton,Zaid,2017,4402.18,16003.85,3.64
Punjab,District_35,Pulses,Rabi,2024,2492.31,5636.62,2.26
Maharashtra,District_15,Cotton,Rabi,2024,866.62,12811.96,14.78
Madhya Pradesh,District_48,Maize,Zaid,2011,624.83,11890.6,19.03
Telangana,District_36,Oilseeds,Kharif,2011,4503.95,14885.91,3.31
Uttar Pradesh,District_21,Oilseeds,Zaid,2014,3523.11,17199.96,4.88
Karnataka,District_6,Cotton,Kharif,2024,4832.67,7219.27,1.49
Andhra Pradesh,District_1,Sugarcane,Rabi,2019,457.63,13250.56,28.95
Uttar Pradesh,District_4,Oilseeds,Zaid,2011,4517.93,16060.61,3.55
Punjab,District_11,Sugarcane,Rabi,2020,4235.88,14015.96,3.31
Andhra Pradesh,District_44,Rice,Zaid,2010,4471.27,18450.5,4.13
Andhra Pradesh,District_26,Wheat,Kharif,2011,78.53,9944.28,126.63
Andhra Pradesh,District_37,Cotton,Zaid,2014,3722.42,16072.55,4.32
Maharashtra,District_23,Oilseeds,Rabi,2020,2767.24,18203.85,6.58
Punjab,District_29,Sugarcane,Zaid,2024,2887.24,11185.35,3.87
Andhra Pradesh,District_21,Oilseeds,Rabi,2019,2372.55,444.14,0.19
Karnataka,District_48,Wheat,Zaid,2023,3726.25,16378.37,4.4
Tamil Nadu,District_45,Wheat,Kharif,2016,4999.2,16936.08,3.39
Andhra Pradesh,District_45,Rice,Zaid,2014,3567.16,8057.03,2.26
Maharashtra,District_49,Wheat,Zaid,2010,3406.35,4658.65,1.37
Uttar Pradesh,District_27,Wheat,Zaid,2016,3289.47,19565.17,5.95
Punjab,District_39,Pulses,Zaid,2015,3491.3,11077.31,3.17
Madhya Pradesh,District_40,Maize,Kharif,2016,1743.46,10371.98,5.95
Maharashtra,District_13,Oilseeds,Rabi,2011,1635.09,18926.88,11.58
Andhra Pradesh,District_23,Rice,Zaid,2014,3932.47,8221.13,2.09
Punjab,District_16,Rice,Zaid,2023,312.79,16977.91,54.28
Tamil Nadu,District_30,Cotton,Zaid,2017,3808.28,14042.96,3.69
Andhra Pradesh,District_4,Wheat,Kharif,2022,4078.52,19357.54,4.75
Maharashtra,District_40,Cotton,Rabi,2021,2631.91,8630.15,3.28
Telangana,District_16,Pulses,Rabi,2016,4555.23,18161.76,3.99
Karnataka,District_31,Sugarcane,Zaid,2015,2391.78,11420.73,4.77
Madhya Pradesh,District_42,Wheat,Zaid,2022,931.53,9569.94,10.27
Uttar Pradesh,District_25,Sugarcane,Rabi,2015,1838.92,6182.7,3.36
Maharashtra,District_44,Maize,Zaid,2021,4534.04,11098.69,2.45
Punjab,District_12,Pulses,Zaid,2010,4969.0,11493.78,2.31
Madhya Pradesh,District_26,Wheat,Zaid,2010,2138.18,17977.98,8.41
Madhya Pradesh,District_37,Cotton,Kharif,2016,875.89,14110.84,16.11
Madhya Pradesh,District_48,Cotton,Kharif,2012,1467.33,16546.83,11.28
Andhra Pradesh,District_33,Wheat,Rabi,2015,2788.82,15405.69,5.52
Karnataka,District_28,Oilseeds,Kharif,2021,2881.87,5605.27,1.95
Andhra Pradesh,District_9,Cotton,Kharif,2014,3168.79,4195.37,1.32
Punjab,District_12,Oilseeds,Rabi,2012,4185.0,5243.78,1.25
Andhra Pradesh,District_5,Wheat,Kharif,2015,3570.51,3016.93,0.84
Telangana,District_28,Rice,Rabi,2012,1341.16,7780.64,5.8
Karnataka,District_35,Cotton,Zaid,2017,2005.47,13112.62,6.54
Karnataka,District_5,Oilseeds,Rabi,2023,4207.09,10785.85,2.56
Punjab,District_34,Wheat,Rabi,2024,3185.24,13616.37,4.27
Uttar Pradesh,District_46,Wheat,Rabi,2016,873.77,7186.36,8.22
Telangana,District_34,Oilseeds,Zaid,2018,1661.42,4185.03,2.52
Maharashtra,District_13,Cotton,Zaid,2014,3965.9,4134.89,1.04
Andhra Pradesh,District_39,Rice,Zaid,2021,901.87,12057.16,13.37
Tamil Nadu,District_42,Cotton,Rabi,2024,3470.7,3369.47,0.97
Andhra Pradesh,District_45,Wheat,Rabi,2010,2839.51,8003.63,2.82
Madhya Pradesh,District_48,Rice,Rabi,2020,780.0,4335.37,5.56
Andhra Pradesh,District_14,Sugarcane,Rabi,2019,3459.95,13288.93,3.84
Maharashtra,District_11,Maize,Rabi,2024,754.63,12346.87,16.36
Andhra Pradesh,District_42,Cotton,Rabi,2020,2022.26,7684.39,3.8
Telangana,District_38,Pulses,Rabi,2017,1577.37,2661.48,1.69
Telangana,District_4,Wheat,Kharif,2011,3465.55,4315.15,1.25
Karnataka,District_33,Rice,Zaid,2015,3922.69,9496.96,2.42
Punjab,District_7,Oilseeds,Kharif,2010,883.17,19444.44,22.02
Uttar Pradesh,District_41,Oilseeds,Zaid,2015,4069.38,5488.42,1.35
Tamil Nadu,District_8,Oilseeds,Rabi,2013,85.71,3904.69,45.56
Madhya Pradesh,District_37,Rice,Kharif,2014,2673.79,4491.6,1.68
Andhra Pradesh,District_10,Sugarcane,Rabi,2024,2608.11,14191.97,5.44
Andhra Pradesh,District_43,Cotton,Kharif,2019,3137.92,18302.21,5.83
Maharashtra,District_15,Pulses,Kharif,2016,1236.52,1595.92,1.29
Punjab,District_38,Oilseeds,Rabi,2022,98.79,15010.84,151.95
Telangana,District_15,Rice,Kharif,2015,2301.08,9942.67,4.32
Tamil Nadu,District_5,Oilseeds,Kharif,2010,403.46,16521.29,40.95
Karnataka,District_29,Sugarcane,Zaid,2018,4466.36,8487.96,1.9
Telangana,District_19,Wheat,Rabi,2015,909.65,203.8,0.22
Madhya Pradesh,District_10,Oilseeds,Rabi,2015,2154.9,13687.65,6.35
Punjab,District_12,Sugarcane,Kharif,2018,2198.3,16178.63,7.36
Madhya Pradesh,District_4,Cotton,Rabi,2021,2786.68,18050.22,6.48
Uttar Pradesh,District_31,Oilseeds,Zaid,2019,3923.54,11424.12,2.91
Karnataka,District_18,Sugarcane,Zaid,2014,2387.13,2528.77,1.06
Uttar Pradesh,District_16,Rice,Rabi,2020,177.48,7459.71,42.03
Maharashtra,District_40,Rice,Rabi,2024,3867.0,15706.58,4.06
Madhya Pradesh,District_36,Maize,Zaid,2015,456.76,9938.82,21.76
Maharashtra,District_25,Sugarcane,Rabi,2015,3225.69,14014.97,4.34
Andhra Pradesh,District_23,Wheat,Kharif,2016,4026.98,193.32,0.05
Uttar Pradesh,District_12,Oilseeds,Rabi,2018,1449.32,1552.75,1.07
Punjab,District_34,Pulses,Kharif,2014,2273.08,13655.16,6.01
Madhya Pradesh,District_36,Pulses,Zaid,2014,120.96,5875.02,48.57
Tamil Nadu,District_37,Cotton,Rabi,2013,4029.18,7824.92,1.94
Karnataka,District_3,Maize,Zaid,2019,3531.14,12878.44,3.65
Telangana,District_9,Sugarcane,Rabi,2013,1195.37,2329.09,1.95
Punjab,District_18,Wheat,Kharif,2021,1981.62,16670.9,8.41
Punjab,District_43,Maize,Rabi,2017,3491.82,2974.24,0.85
Maharashtra,District_35,Rice,Zaid,2022,1822.91,14692.32,8.06
Uttar Pradesh,District_34,Cotton,Kharif,2011,853.95,5925.75,6.94
Madhya Pradesh,District_41,Oilseeds,Rabi,2019,2616.6,5273.42,2.02
Madhya Pradesh,District_14,Oilseeds,Zaid,2017,3631.66,16443.17,4.53
Andhra Pradesh,District_4,Oilseeds,Zaid,2011,1638.01,11088.81,6.77
Andhra Pradesh,District_29,Sugarcane,Rabi,2024,652.77,4189.41,6.42
Karnataka,District_41,Pulses,Zaid,2010,4156.24,150.67,0.04
Maharashtra,District_45,Wheat,Kharif,2019,1301.37,19463.39,14.96
Punjab,District_50,Oilseeds,Rabi,2022,2588.43,8684.59,3.36
Madhya Pradesh,District_15,Oilseeds,Kharif,2024,3472.15,8008.71,2.31
Tamil Nadu,District_28,Rice,Zaid,2018,1619.52,1101.26,0.68
Maharashtra,District_42,Maize,Zaid,2020,3260.75,17898.63,5.49
Karnataka,District_16,Oilseeds,Zaid,2017,2325.56,2897.7,1.25
Karnataka,District_12,Cotton,Kharif,2015,2873.66,6775.57,2.36
Maharashtra,District_5,Maize,Zaid,2013,2973.35,8479.97,2.85
Karnataka,District_34,Pulses,Rabi,2011,4129.55,16221.1,3.93
Maharashtra,District_42,Maize,Rabi,2017,3298.82,7253.39,2.2
Telangana,District_1,Wheat,Zaid,2012,1358.32,10676.1,7.86
Maharashtra,District_39,Rice,Rabi,2019,345.04,8631.76,25.02
Uttar Pradesh,District_32,Sugarcane,Kharif,2013,59.83,6305.71,105.39
Maharashtra,District_26,Wheat,Kharif,2014,4526.87,18931.43,4.18
Karnataka,District_17,Pulses,Zaid,2022,4713.44,15957.85,3.39
Madhya Pradesh,District_48,Cotton,Rabi,2013,515.85,3569.62,6.92
Uttar Pradesh,District_27,Pulses,Rabi,2020,2460.92,11138.66,4.53
Karnataka,District_24,Pulses,Zaid,2017,800.4,15951.55,19.93
Andhra Pradesh,District_35,Maize,Kharif,2018,4746.31,11637.82,2.45
Andhra Pradesh,District_46,Cotton,Zaid,2023,1271.82,9926.21,7.8
Madhya Pradesh,District_42,Wheat,Rabi,2023,2533.15,1533.98,0.61
Madhya Pradesh,District_39,Pulses,Rabi,2023,869.82,2210.73,2.54
Uttar Pradesh,District_26,Wheat,Zaid,2010,1697.17,4980.27,2.93
