state,district,soil_type,ph_level,nitrogen,phosphorus,potassium
Karnataka,District_3,Black,5.68,458.08,91.55,99.49
Madhya Pradesh,District_12,Black,5.66,436.65,164.64,392.8
Andhra Pradesh,District_19,Black,5.76,495.04,137.82,103.9
Karnataka,District_5,Laterite,8.1,151.25,165.33,363.49
Punjab,District_34,Black,6.92,414.98,173.03,169.09
Madhya Pradesh,District_42,Alluvial,8.12,114.33,64.78,267.51
Karnataka,District_43,Laterite,7.75,422.28,179.64,236.61
Karnataka,District_33,Black,5.54,255.37,266.09,67.34
Maharashtra,District_33,Red,6.41,476.6,268.98,321.38
Tamil Nadu,District_9,Laterite,7.07,197.22,122.28,109.43
Madhya Pradesh,District_28,Laterite,5.59,333.31,246.13,120.82
Andhra Pradesh,District_3,Alluvial,8.37,208.94,155.18,231.27
Maharashtra,District_30,Alluvial,8.23,461.54,285.4,57.65
Andhra Pradesh,District_21,Black,6.21,379.9,56.79,296.0
Andhra Pradesh,District_19,Black,6.6,238.52,235.08,129.77
Telangana,District_46,Laterite,7.68,292.89,263.94,234.49
Uttar Pradesh,District_32,Black,5.55,496.39,190.69,108.4
Punjab,District_47,Alluvial,6.17,259.42,156.2,293.7
Telangana,District_26,Alluvial,7.04,116.78,106.87,55.17
Maharashtra,District_3,Black,6.59,487.35,58.19,166.97
Andhra Pradesh,District_11,Alluvial,5.83,488.38,274.13,218.65
Madhya Pradesh,District_25,Laterite,7.16,353.82,73.93,109.21
Maharashtra,District_39,Black,7.97,306.57,278.97,50.32
Tamil Nadu,District_10,Laterite,6.19,448.51,195.46,364.16
Madhya Pradesh,District_45,Black,6.17,499.25,178.52,343.72
Tamil Nadu,District_1,Alluvial,5.71,496.81,238.35,67.15
Uttar Pradesh,District_47,Laterite,7.16,396.5,172.36,315.94
Telangana,District_50,Red,6.71,202.52,144.69,138.91
Telangana,District_7,Alluvial,7.4,344.51,299.07,61.43
Maharashtra,District_17,Red,5.6,129.03,252.4,235.36
Uttar Pradesh,District_33,Alluvial,7.42,393.21,220.37,370.27
Tamil Nadu,District_47,Red,8.3,153.35,297.07,122.7
Punjab,District_30,Laterite,7.97,232.44,65.82,111.94
Uttar Pradesh,District_31,Red,6.54,466.61,217.63,370.48
Tamil Nadu,District_27,Laterite,5.83,341.98,98.93,108.34
Madhya Pradesh,District_38,Alluvial,7.12,356.17,221.67,53.61
Madhya Pradesh,District_31,Black,6.35,161.01,90.24,350.39
Maharashtra,District_48,Red,5.53,396.58,222.89,66.07
Tamil Nadu,District_26,Laterite,6.73,414.1,88.55,149.77
Madhya Pradesh,District_18,Red,7.12,483.66,269.08,139.73
Telangana,District_44,Black,7.83,348.77,280.47,277.98
Madhya Pradesh,District_9,Laterite,8.44,457.94,162.81,131.13
Maharashtra,District_28,Alluvial,8.1,407.71,88.32,179.07
Karnataka,District_23,Alluvial,7.12,256.05,176.78,299.87
Madhya Pradesh,District_7,Black,7.92,168.8,75.33,223.71
Uttar Pradesh,District_48,Black,7.99,480.64,169.58,282.15
Karnataka,District_26,Red,8.4,482.67,163.52,108.73
Uttar Pradesh,District_21,Black,6.24,200.84,108.42,382.13
Punjab,District_48,Black,6.26,490.9,216.26,233.47
Karnataka,District_32,Laterite,6.16,327.63,50.52,54.77
Tamil Nadu,District_29,Laterite,8.2,215.49,256.01,178.41
Telangana,District_35,Alluvial,7.55,446.08,89.73,308.7
Uttar Pradesh,District_27,Red,5.92,373.44,93.13,175.62
Telangana,District_47,Red,8.38,288.41,213.57,212.45
Tamil Nadu,District_4,Laterite,7.32,293.76,234.62,110.27
Telangana,District_31,Alluvial,5.51,478.9,170.76,135.28
Uttar Pradesh,District_11,Laterite,6.81,252.74,186.45,60.59
Uttar Pradesh,District_34,Alluvial,7.82,248.78,65.24,236.9
Maharashtra,District_45,Red,6.43,250.02,224.41,253.78
Maharashtra,District_46,Laterite,7.51,476.58,209.26,95.2
Tamil Nadu,District_13,Laterite,7.65,348.11,88.37,169.35
Telangana,District_1,Laterite,7.99,485.63,69.83,212.55
Madhya Pradesh,District_20,Alluvial,7.24,393.52,114.86,394.62
Tamil Nadu,District_34,Laterite,6.07,429.63,65.04,194.11
Telangana,District_31,Alluvial,8.03,310.08,121.76,154.06
Madhya Pradesh,District_42,Laterite,6.05,380.03,181.15,237.33
Uttar Pradesh,District_27,Black,6.88,215.98,193.66,276.83
Telangana,District_27,Black,5.77,131.14,285.07,223.17
Punjab,District_26,Red,5.98,166.07,141.42,200.37
Madhya Pradesh,District_15,Black,6.08,489.03,52.0,252.89
Uttar Pradesh,District_27,Red,7.66,127.28,54.99,239.4
Maharashtra,District_42,Alluvial,6.16,273.15,170.51,160.61
Maharashtra,District_39,Red,7.04,490.38,120.23,199.85
Punjab,District_1,Laterite,7.53,259.95,92.36,168.77
Maharashtra,District_27,Laterite,7.15,443.61,193.84,209.96
Andhra Pradesh,District_9,Black,7.48,164.68,75.81,346.18
Punjab,District_30,Laterite,8.2,303.91,202.09,229.11
Uttar Pradesh,District_12,Black,8.4,252.44,275.45,178.8
Madhya Pradesh,District_9,Red,7.55,396.8,72.57,364.43
Tamil Nadu,District_4,Red,6.06,110.65,293.64,162.17
Karnataka,District_31,Laterite,8.44,407.46,192.5,244.08
Madhya Pradesh,District_49,Red,5.71,212.42,105.72,222.39
Telangana,District_40,Red,8.28,416.16,149.05,377.24
Andhra Pradesh,District_3,Black,6.86,243.92,167.38,173.3
Punjab,District_17,Red,8.03,118.28,70.89,296.19
Maharashtra,District_34,Laterite,6.52,104.87,223.12,274.0
Tamil Nadu,District_42,Black,7.18,458.49,275.78,50.71
Uttar Pradesh,District_32,Red,5.93,474.14,267.08,300.64
Telangana,District_39,Laterite,8.22,234.25,158.31,263.75
Telangana,District_44,Black,6.4,268.27,54.32,185.09
Andhra Pradesh,District_41,Laterite,6.29,472.82,294.97,348.98
Maharashtra,District_43,Alluvial,6.84,290.89,71.06,115.96
Karnataka,District_45,Red,6.6,371.44,240.72,341.25
Telangana,District_2,Black,5.91,302.13,127.13,398.52
Madhya Pradesh,District_11,Red,5.57,446.59,272.23,206.02
Uttar Pradesh,District_8,Laterite,6.46,480.22,276.12,208.3
Maharashtra,District_35,Laterite,7.66,391.48,144.25,339.81
Uttar Pradesh,District_37,Red,6.07,196.97,135.98,246.44
Andhra Pradesh,District_27,Black,6.02,158.82,276.03,187.52
Uttar Pradesh,District_29,Laterite,7.1,112.2,216.87,194.66
Tamil Nadu,District_9,Red,7.52,372.35,55.04,81.11
Punjab,District_9,Laterite,8.46,411.45,76.27,229.59
Uttar Pradesh,District_17,Alluvial,5.75,358.31,80.43,120.28
Tamil Nadu,District_2,Black,6.89,143.21,299.41,295.05
Madhya Pradesh,District_22,Laterite,8.41,149.5,127.6,327.84
Andhra Pradesh,District_17,Black,7.43,346.14,94.75,214.95
Karnataka,District_2,Alluvial,7.45,362.32,293.03,164.93
Madhya Pradesh,District_24,Laterite,8.2,197.19,138.74,261.38
Tamil Nadu,District_38,Alluvial,6.52,260.43,102.94,53.04
Andhra Pradesh,District_26,Black,7.14,473.34,233.52,252.05
Tamil Nadu,District_17,Alluvial,6.9,127.29,243.18,290.15
Madhya Pradesh,District_3,Alluvial,6.53,188.94,267.25,134.06
Andhra Pradesh,District_22,Alluvial,8.15,429.38,79.0,324.38
Tamil Nadu,District_33,Red,6.76,374.39,108.49,272.68
Uttar Pradesh,District_6,Laterite,5.92,313.73,262.82,210.64
Karnataka,District_42,Red,5.97,336.5,233.47,60.91
Andhra Pradesh,District_40,Alluvial,5.84,161.04,223.79,59.92
Karnataka,District_12,Black,7.74,359.99,205.63,75.96
Karnataka,District_17,Red,8.38,257.96,271.45,258.89
Punjab,District_33,Red,6.23,498.56,138.41,266.07
Telangana,District_39,Black,5.65,110.77,247.33,269.76
Andhra Pradesh,District_43,Black,5.88,479.83,137.28,59.57
Karnataka,District_48,Laterite,7.71,193.75,248.16,276.35
Punjab,District_49,Laterite,7.89,233.96,85.47,182.88
Telangana,District_25,Red,6.55,124.16,207.71,262.19
Telangana,District_32,Alluvial,5.53,354.22,114.28,339.89
Madhya Pradesh,District_14,Black,8.1,329.01,110.1,58.77
Madhya Pradesh,District_32,Black,5.77,417.26,56.74,348.67
Madhya Pradesh,District_46,Alluvial,5.96,295.2,274.29,178.7
Karnataka,District_32,Black,6.24,369.13,226.48,250.79
Punjab,District_6,Black,7.41,480.86,266.72,320.32
Maharashtra,District_30,Red,6.55,264.83,248.12,300.25
Andhra Pradesh,District_34,Laterite,5.64,289.51,148.61,55.59
Andhra Pradesh,District_12,Alluvial,7.78,301.85,230.22,208.55
Uttar Pradesh,District_48,Alluvial,7.16,315.26,73.51,332.23
Maharashtra,District_50,Red,7.99,200.23,227.29,123.24
Madhya Pradesh,District_38,Laterite,5.7,192.23,281.55,367.64
Andhra Pradesh,District_46,Black,8.35,255.14,284.73,213.34
Punjab,District_21,Black,5.81,444.96,112.74,336.98
Uttar Pradesh,District_46,Alluvial,7.17,427.97,184.28,349.05
Karnataka,District_39,Laterite,7.06,116.95,87.69,122.47
Telangana,District_9,Red,8.18,422.83,211.24,380.11
Uttar Pradesh,District_13,Red,7.19,217.87,123.93,316.02
Madhya Pradesh,District_40,Black,6.34,119.66,171.31,195.79
Telangana,District_13,Black,6.02,257.59,63.43,342.23
Uttar Pradesh,District_37,Laterite,6.28,138.75,131.95,88.44
Maharashtra,District_46,Red,6.31,196.21,291.6,76.32
Karnataka,District_19,Red,6.13,399.33,226.64,328.08
Karnataka,District_7,Black,6.2,121.09,107.97,147.92
Uttar Pradesh,District_33,Laterite,8.07,277.17,58.57,356.67
Telangana,District_49,Red,8.11,180.05,216.87,68.2
Uttar Pradesh,District_11,Black,7.09,271.7,280.36,108.32
Tamil Nadu,District_10,Red,8.24,451.23,196.33,312.94
Tamil Nadu,District_14,Alluvial,7.01,424.54,157.98,363.33
Madhya Pradesh,District_11,Alluvial,7.3,264.4,256.56,277.3
Punjab,District_21,Laterite,8.48,162.28,177.43,378.15
Uttar Pradesh,District_47,Alluvial,6.62,483.86,272.26,206.47
Uttar Pradesh,District_41,Laterite,7.38,295.46,216.25,335.6
Andhra Pradesh,District_39,Alluvial,7.55,158.87,62.09,139.05
Punjab,District_39,Alluvial,7.29,199.04,205.16,393.47
Madhya Pradesh,District_11,Alluvial,6.45,431.54,151.72,172.57
Andhra Pradesh,District_27,Red,8.26,185.53,177.27,375.83
Punjab,District_41,Laterite,8.19,137.63,206.47,129.77
Andhra Pradesh,District_24,Alluvial,8.35,222.51,253.09,82.2
Karnataka,District_1,Alluvial,6.64,397.37,102.73,177.26
Telangana,District_14,Laterite,8.16,257.57,144.6,53.35
Karnataka,District_37,Black,7.4,175.66,82.51,64.9
Uttar Pradesh,District_27,Black,8.49,459.58,176.58,376.33
Maharashtra,District_50,Black,6.73,310.84,200.4,381.6
Telangana,District_10,Alluvial,5.52,482.79,64.03,54.42
Punjab,District_32,Laterite,7.01,478.16,160.64,61.67
Telangana,District_11,Red,7.12,343.39,108.47,213.85
Telangana,District_30,Red,6.89,281.56,185.73,99.53
Telangana,District_50,Black,6.72,265.91,205.43,261.22
Andhra Pradesh,District_15,Alluvial,6.16,272.35,209.12,370.53
Telangana,District_36,Black,7.69,112.57,53.99,365.65
Karnataka,District_1,Black,7.1,373.04,141.75,294.08
Uttar Pradesh,District_22,Black,5.81,225.17,172.18,276.54
Telangana,District_10,Black,5.8,233.08,229.67,223.65
Uttar Pradesh,District_30,Laterite,7.83,413.86,68.67,187.03
Maharashtra,District_44,Black,7.26,492.04,281.1,383.31
Tamil Nadu,District_24,Red,7.02,144.85,65.84,311.07
Karnataka,District_7,Alluvial,6.16,185.5,71.35,356.81
Uttar Pradesh,District_33,Alluvial,6.44,135.09,118.17,334.79
Karnataka,District_12,Alluvial,7.95,416.15,152.57,395.83
Karnataka,District_37,Black,6.34,389.42,63.78,310.39
Punjab,District_14,Red,6.03,355.45,72.97,230.19
Uttar Pradesh,District_17,Red,7.48,176.72,254.13,387.94
Andhra Pradesh,District_9,Red,7.81,317.44,117.13,379.69
Punjab,District_47,Alluvial,6.02,339.74,283.88,86.81
Madhya Pradesh,District_42,Laterite,6.26,480.01,179.06,89.3
Maharashtra,District_24,Laterite,5.6,370.13,276.35,162.19
Telangana,District_10,Alluvial,5.59,446.66,243.31,329.73
Maharashtra,District_26,Alluvial,5.66,435.12,95.04,336.35
Madhya Pradesh,District_4,Black,5.67,401.66,246.78,284.33
Telangana,District_4,Laterite,7.83,246.86,162.35,322.16
Andhra Pradesh,District_27,Alluvial,7.26,451.25,139.23,350.98
Tamil Nadu,District_15,Red,6.31,403.1,150.97,139.32
Madhya Pradesh,District_15,Alluvial,5.84,391.45,66.14,111.17
Uttar Pradesh,District_12,Black,8.36,155.24,295.86,225.95
Madhya Pradesh,District_31,Red,6.62,470.86,138.7,282.61
Andhra Pradesh,District_49,Red,5.54,100.85,221.32,301.89
Maharashtra,District_42,Laterite,5.55,223.85,288.63,73.56
Andhra Pradesh,District_12,Red,6.14,370.9,158.29,219.93
Uttar Pradesh,District_35,Red,7.92,159.84,200.35,210.95
Punjab,District_10,Laterite,7.87,409.11,265.24,70.94
Maharashtra,District_20,Laterite,5.57,157.5,122.42,197.01
Maharashtra,District_49,Red,6.1,100.61,91.65,387.35
Maharashtra,District_23,Red,7.71,111.37,62.37,82.64
Punjab,District_24,Laterite,5.72,186.27,115.45,112.73
Andhra Pradesh,District_16,Red,6.75,317.95,124.61,144.46
Tamil Nadu,District_3,Laterite,8.38,130.27,217.05,213.93
Telangana,District_7,Black,7.24,243.79,184.81,218.59
Tamil Nadu,District_48,Red,6.79,176.22,115.8,221.32
Telangana,District_3,Alluvial,8.38,451.8,262.3,330.55
Andhra Pradesh,District_26,Black,7.02,207.01,189.41,319.4
Uttar Pradesh,District_15,Black,7.31,360.82,52.53,318.67
Maharashtra,District_2,Red,7.04,393.57,51.43,245.27
Uttar Pradesh,District_12,Black,7.75,155.16,179.08,272.42
Madhya Pradesh,District_31,Black,6.5,148.59,233.48,80.93
Telangana,District_6,Red,5.96,463.6,61.24,270.43
Madhya Pradesh,District_32,Black,6.92,163.21,252.53,124.31
Telangana,District_7,Laterite,7.7,320.38,71.41,268.54
Andhra Pradesh,District_47,Black,6.9,341.53,245.66,385.45
Karnataka,District_32,Laterite,6.11,227.88,51.35,229.76
Telangana,District_25,Alluvial,5.95,292.81,142.9,54.26
Andhra Pradesh,District_50,Alluvial,8.41,221.47,152.17,72.77
Uttar Pradesh,District_15,Laterite,8.26,430.8,256.31,65.69
Tamil Nadu,District_19,Red,6.43,161.08,87.94,265.81
Karnataka,District_39,Laterite,8.39,221.19,85.92,65.49
Tamil Nadu,District_37,Laterite,7.36,302.64,299.75,228.16
Maharashtra,District_20,Black,6.42,220.01,123.01,82.63
Maharashtra,District_20,Red,6.41,444.83,213.74,200.69
Telangana,District_48,Black,8.2,458.05,141.14,281.82
Tamil Nadu,District_14,Black,6.61,422.22,83.03,372.62
Karnataka,District_26,Black,5.73,454.19,69.58,87.82
Punjab,District_6,Black,7.72,272.07,85.46,305.62
Tamil Nadu,District_7,Red,5.94,315.74,230.51,256.27
Madhya Pradesh,District_10,Black,7.57,353.76,271.35,364.85
Andhra Pradesh,District_26,Black,7.58,412.59,281.93,295.83
Uttar Pradesh,District_9,Black,7.21,239.65,51.55,172.02
Uttar Pradesh,District_4,Laterite,7.22,124.64,177.47,335.0
Madhya Pradesh,District_23,Laterite,6.55,447.71,175.53,222.57
Tamil Nadu,District_11,Laterite,6.73,408.94,85.49,151.01
Telangana,District_25,Laterite,5.86,298.71,197.49,316.94
Punjab,District_33,Black,7.16,133.29,179.27,185.61
Tamil Nadu,District_8,Laterite,7.95,273.78,283.58,299.58
Uttar Pradesh,District_11,Alluvial,5.59,121.3,63.48,154.0
Andhra Pradesh,District_30,Red,7.63,316.47,199.46,318.25
Karnataka,District_22,Black,5.9,130.04,51.74,387.54
Maharashtra,District_3,Black,7.9,397.08,175.46,378.03
Madhya Pradesh,District_35,Black,5.5,148.27,263.66,179.7
Madhya Pradesh,District_6,Red,5.73,245.97,166.6,153.04
Uttar Pradesh,District_38,Red,7.97,221.19,179.23,181.16
Andhra Pradesh,District_20,Alluvial,6.31,184.6,110.42,84.05
Andhra Pradesh,District_44,Laterite,8.18,479.08,127.73,71.23
Punjab,District_41,Alluvial,7.84,402.07,195.07,242.6
Uttar Pradesh,District_13,Black,7.42,400.21,77.17,398.25
Maharashtra,District_29,Black,6.4,256.58,134.77,342.01
Tamil Nadu,District_37,Laterite,8.02,391.69,71.45,182.57
Telangana,District_30,Laterite,6.08,296.26,270.87,314.06
Karnataka,District_39,Laterite,8.18,285.78,189.29,343.97
Punjab,District_21,Black,7.77,426.93,181.62,229.96
Tamil Nadu,District_20,Black,6.55,238.8,234.1,86.47
Maharashtra,District_19,Black,6.02,136.05,57.48,272.92
Uttar Pradesh,District_25,Laterite,6.83,119.67,231.73,171.2
Telangana,District_34,Black,5.89,438.17,280.1,58.74
Karnataka,District_40,Black,6.96,419.15,270.15,302.26
Telangana,District_4,Laterite,6.18,321.64,91.64,117.7
Maharashtra,District_13,Alluvial,5.51,238.1,129.83,271.43
Telangana,District_50,Laterite,7.09,194.13,80.94,230.76
Karnataka,District_3,Black,6.4,431.82,175.27,193.5
Tamil Nadu,District_11,Alluvial,7.33,146.16,109.24,173.38
Maharashtra,District_37,Laterite,6.44,439.69,90.98,85.2
Madhya Pradesh,District_48,Laterite,7.55,221.07,114.23,50.33
Punjab,District_20,Red,7.5,187.89,189.01,354.05
Telangana,District_34,Black,5.58,471.61,157.46,297.34
Maharashtra,District_8,Black,7.57,257.44,68.89,55.38
Punjab,District_14,Red,6.05,481.74,159.65,94.16
Punjab,District_42,Red,7.96,357.61,126.16,70.38
Karnataka,District_23,Red,5.86,342.1,294.63,103.61
Karnataka,District_6,Red,6.24,252.58,225.99,272.03
Tamil Nadu,District_8,Red,7.22,204.25,142.0,58.95
Madhya Pradesh,District_14,Alluvial,6.76,142.61,80.04,225.47
Punjab,District_22,Red,8.47,334.87,65.2,267.9
Madhya Pradesh,District_22,Laterite,7.66,120.05,211.44,69.44
Punjab,District_26,Red,6.16,262.21,68.16,258.69
Karnataka,District_11,Black,7.7,443.54,233.77,223.55
Tamil Nadu,District_14,Laterite,6.57,464.53,78.31,84.55
Uttar Pradesh,District_18,Laterite,5.57,272.68,63.02,225.43
Andhra Pradesh,District_8,Laterite,6.34,240.24,296.94,152.99
Tamil Nadu,District_50,Alluvial,8.32,306.54,290.46,194.79
Telangana,District_11,Alluvial,5.88,141.19,193.65,223.19
Uttar Pradesh,District_43,Red,7.22,143.39,277.99,60.03
Andhra Pradesh,District_34,Laterite,8.43,115.71,293.11,298.17
Karnataka,District_2,Alluvial,7.06,449.14,160.85,272.4
Punjab,District_18,Laterite,6.49,418.27,52.51,96.39
Telangana,District_12,Black,7.3,203.62,205.17,131.37
Telangana,District_3,Laterite,6.27,375.55,149.63,64.11
Uttar Pradesh,District_21,Red,7.83,456.28,218.47,178.89
Madhya Pradesh,District_19,Black,8.09,425.53,94.54,304.06
Telangana,District_4,Laterite,6.56,177.01,296.68,224.89
Madhya Pradesh,District_34,Red,7.82,218.76,242.36,262.72
Karnataka,District_14,Red,8.01,213.89,123.95,202.82
Karnataka,District_48,Alluvial,6.72,278.35,242.74,238.43
Punjab,District_26,Black,8.35,293.02,262.76,183.61
Telangana,District_28,Alluvial,7.57,215.18,173.17,55.89
Madhya Pradesh,District_17,Alluvial,6.87,440.39,151.77,336.35
Uttar Pradesh,District_20,Red,7.33,125.09,109.1,375.89
Andhra Pradesh,District_16,Laterite,6.99,306.15,258.81,315.57
Madhya Pradesh,District_50,Laterite,5.99,242.41,152.42,384.87
Telangana,District_27,Black,6.89,422.61,249.41,252.04
Uttar Pradesh,District_19,Black,7.17,478.55,268.48,352.27
Karnataka,District_22,Black,5.98,144.55,188.14,233.09
Karnataka,District_3,Alluvial,8.18,279.43,93.73,310.07
Tamil Nadu,District_32,Laterite,7.29,263.98,59.46,165.73
Maharashtra,District_13,Black,6.89,108.32,226.56,242.25
Andhra Pradesh,District_13,Laterite,7.85,444.53,264.94,257.26
Tamil Nadu,District_26,Laterite,7.8,183.91,266.29,371.08
Maharashtra,District_35,Black,6.66,134.62,139.3,122.23
Uttar Pradesh,District_43,Red,6.84,462.78,102.93,386.74
Karnataka,District_14,Black,6.91,214.64,64.4,371.42
Madhya Pradesh,District_35,Laterite,5.95,322.73,107.76,177.32
Maharashtra,District_20,Laterite,7.67,326.13,114.51,101.64
Karnataka,District_10,Black,6.03,499.86,196.39,189.21
Telangana,District_20,Red,5.72,430.16,109.55,239.08
Andhra Pradesh,District_23,Laterite,7.51,192.54,110.03,248.89
Karnataka,District_9,Laterite,5.75,344.43,136.22,391.44
Karnataka,District_11,Red,8.1,109.78,214.77,164.19
Karnataka,District_16,Black,6.49,331.0,149.69,97.29
Uttar Pradesh,District_43,Red,6.2,470.21,233.03,148.03
Maharashtra,District_21,Laterite,6.78,132.08,158.53,69.09
Karnataka,District_12,Black,6.95,140.47,248.7,340.04
Telangana,District_5,Alluvial,5.93,116.98,165.13,285.18
Tamil Nadu,District_42,Alluvial,8.17,328.15,254.49,218.26
Tamil Nadu,District_2,Red,6.03,239.87,260.26,162.21
Madhya Pradesh,District_16,Red,7.03,133.79,242.91,209.11
Madhya Pradesh,District_8,Red,7.3,194.46,183.84,399.06
Uttar Pradesh,District_49,Red,7.45,462.22,210.5,57.22
Tamil Nadu,District_38,Black,7.03,233.68,55.53,89.67
Punjab,District_18,Black,6.28,163.3,120.57,133.06
Karnataka,District_6,Laterite,5.71,253.24,150.25,334.78
Uttar Pradesh,District_31,Laterite,8.33,229.47,63.48,116.12
Telangana,District_4,Laterite,7.9,363.85,256.38,394.39
Maharashtra,District_13,Laterite,6.33,197.99,118.67,68.06
Andhra Pradesh,District_24,Black,5.81,102.38,94.31,290.87
Maharashtra,District_48,Red,8.43,398.96,280.6,142.84
Uttar Pradesh,District_10,Laterite,8.13,300.99,51.68,375.5
Punjab,District_38,Alluvial,7.33,184.57,227.88,135.11
Karnataka,District_45,Black,7.05,268.46,60.36,377.8
Telangana,District_12,Alluvial,6.36,282.32,136.84,126.15
Andhra Pradesh,District_3,Black,6.55,462.55,119.73,209.82
Karnataka,District_18,Black,8.1,106.99,154.49,110.52
Telangana,District_48,Red,7.24,471.95,130.85,95.0
Maharashtra,District_30,Red,8.19,114.46,231.69,170.31
Telangana,District_47,Laterite,8.1,494.81,208.91,107.66
Telangana,District_25,Laterite,6.76,302.42,176.11,199.49
Maharashtra,District_1,Alluvial,5.93,277.16,139.16,182.14
Tamil Nadu,District_6,Alluvial,8.33,391.73,68.3,216.25
Andhra Pradesh,District_47,Laterite,7.91,111.06,209.4,312.36
Punjab,District_37,Laterite,6.6,433.29,115.65,311.64
Madhya Pradesh,District_45,Red,8.16,461.48,110.99,383.1
Maharashtra,District_34,Laterite,6.59,125.78,237.72,81.17
Andhra Pradesh,District_15,Red,7.45,287.53,125.46,153.24
Karnataka,District_14,Laterite,6.44,243.2,235.32,166.04
Madhya Pradesh,District_41,Alluvial,8.22,395.37,237.51,218.65
Madhya Pradesh,District_41,Red,5.61,404.14,88.87,222.45
Punjab,District_6,Black,7.54,337.49,123.21,337.83
Karnataka,District_41,Laterite,6.08,426.38,192.74,246.5
Tamil Nadu,District_46,Black,5.79,366.77,295.64,306.53
Tamil Nadu,District_37,Red,7.24,298.98,136.2,249.62
Punjab,District_2,Red,7.7,326.04,265.01,136.06
Madhya Pradesh,District_6,Alluvial,8.47,223.2,266.03,397.67
Madhya Pradesh,District_31,Laterite,5.87,279.36,128.87,321.22
Maharashtra,District_12,Red,6.19,474.26,290.88,199.61
Madhya Pradesh,District_1,Red,8.44,399.5,64.22,243.58
Maharashtra,District_35,Laterite,6.19,189.18,115.19,202.32
Andhra Pradesh,District_23,Laterite,7.36,136.69,180.36,58.09
Punjab,District_19,Black,7.5,127.59,72.52,83.64
Maharashtra,District_6,Red,7.93,440.75,251.15,71.42
Tamil Nadu,District_2,Red,6.59,434.28,95.99,169.71
Uttar Pradesh,District_23,Black,5.89,227.8,275.75,358.27
Madhya Pradesh,District_45,Red,5.64,104.72,293.76,252.25
Madhya Pradesh,District_50,Alluvial,5.77,270.58,233.68,165.75
Punjab,District_28,Red,7.18,234.01,207.18,263.23
Tamil Nadu,District_22,Alluvial,6.59,151.07,196.35,129.66
Tamil Nadu,District_36,Black,7.98,179.18,226.38,149.94
Andhra Pradesh,District_2,Black,6.72,340.5,270.33,283.78
Uttar Pradesh,District_17,Laterite,7.06,387.44,228.17,121.78
Maharashtra,District_35,Laterite,8.35,328.53,249.27,291.24
Madhya Pradesh,District_47,Black,7.1,166.82,120.05,342.26
Uttar Pradesh,District_11,Laterite,7.89,224.87,256.5,94.71
Maharashtra,District_22,Red,7.79,381.9,93.32,108.39
