state,district,year,rainfall_mm,avg_temperature_celsius,humidity
Andhra Pradesh,District_32,2013,493.28,38.47,83.78
Punjab,District_5,2021,879.6,29.19,67.11
Punjab,District_42,2019,1997.32,22.51,64.44
Uttar Pradesh,District_29,2022,1364.11,37.14,68.79
Maharashtra,District_35,2016,878.0,35.61,84.42
Maharashtra,District_47,2012,1361.1,26.76,72.43
Telangana,District_12,2020,1029.53,36.52,79.37
Karnataka,District_37,2019,384.23,18.2,75.97
Tamil Nadu,District_46,2023,641.92,35.59,86.18
Tamil Nadu,District_44,2016,332.7,33.14,80.85
Tamil Nadu,District_22,2012,733.15,26.35,57.06
Punjab,District_11,2011,1557.26,35.41,82.72
Telangana,District_23,2010,628.64,20.79,63.37
Andhra Pradesh,District_45,2020,1197.7,22.47,82.36
Andhra Pradesh,District_10,2015,1492.73,29.74,85.29
Tamil Nadu,District_42,2022,1232.76,37.38,74.26
Punjab,District_24,2023,326.13,20.86,75.94
Madhya Pradesh,District_46,2012,917.68,30.41,47.06
Madhya Pradesh,District_16,2019,1050.77,34.57,56.19
Karnataka,District_12,2021,882.68,34.35,67.89
Uttar Pradesh,District_50,2020,1228.65,31.82,40.18
Uttar Pradesh,District_32,2023,1172.36,38.7,82.36
Punjab,District_24,2011,618.67,28.61,58.47
Karnataka,District_4,2020,1578.36,37.37,76.17
Madhya Pradesh,District_42,2012,573.98,31.63,78.46
Maharashtra,District_33,2017,1080.24,34.22,67.4
Karnataka,District_18,2012,1585.71,28.23,79.51
Tamil Nadu,District_47,2013,1485.35,21.69,74.12
Maharashtra,District_17,2011,1034.72,20.4,57.99
Tamil Nadu,District_21,2024,1641.16,33.01,80.81
Madhya Pradesh,District_1,2017,1513.39,26.28,71.8
Punjab,District_46,2015,953.71,30.48,48.01
Madhya Pradesh,District_44,2018,1822.37,34.41,78.64
Punjab,District_25,2023,541.33,35.3,73.81
Andhra Pradesh,District_31,2024,909.42,29.21,54.23
Tamil Nadu,District_43,2017,1486.28,24.92,82.1
Madhya Pradesh,District_20,2022,1784.06,35.07,58.7
Maharashtra,District_26,2013,848.39,27.14,67.64
Tamil Nadu,District_19,2022,1254.11,38.61,57.16
Telangana,District_30,2022,320.13,36.14,76.22
Punjab,District_25,2017,930.43,34.43,69.06
Maharashtra,District_36,2024,862.59,23.31,63.51
Karnataka,District_49,2010,1732.2,25.98,41.02
Andhra Pradesh,District_18,2020,425.76,36.68,70.36
Karnataka,District_4,2018,405.59,18.51,71.12
Tamil Nadu,District_27,2014,1052.59,35.19,49.06
Karnataka,District_33,2013,992.56,26.89,56.62
Maharashtra,District_6,2014,574.65,35.59,83.94
Telangana,District_7,2022,747.69,30.15,67.46
Madhya Pradesh,District_1,2010,1956.13,29.59,61.75
Karnataka,District_38,2011,1172.41,33.44,86.8
Tamil Nadu,District_35,2022,449.35,35.74,80.6
Karnataka,District_23,2011,384.57,33.26,44.87
Karnataka,District_16,2024,371.29,27.92,82.95
Uttar Pradesh,District_34,2020,961.33,25.06,47.49
Madhya Pradesh,District_34,2022,1771.55,36.6,48.74
Maharashtra,District_31,2024,1715.96,29.46,43.77
Uttar Pradesh,District_43,2018,925.41,35.24,64.07
Uttar Pradesh,District_31,2015,1616.52,39.91,72.23
Tamil Nadu,District_11,2012,1578.82,32.17,77.69
Uttar Pradesh,District_8,2013,1121.09,24.12,41.34
Tamil Nadu,District_24,2022,987.46,37.04,48.89
Telangana,District_23,2010,606.93,24.02,71.06
Uttar Pradesh,District_32,2024,773.91,23.73,66.28
Madhya Pradesh,District_15,2016,875.78,19.63,42.57
Maharashtra,District_28,2016,1681.62,19.73,86.77
Punjab,District_20,2022,1240.02,36.97,77.93
Maharashtra,District_14,2017,641.55,23.08,57.94
Andhra Pradesh,District_26,2010,462.91,20.39,66.82
Telangana,District_50,2018,1144.33,25.76,58.71
Telangana,District_37,2011,1432.74,33.7,62.76
Tamil Nadu,District_2,2022,1692.1,25.47,69.81
Tamil Nadu,District_34,2010,1655.43,24.8,59.92
Madhya Pradesh,District_34,2010,1701.06,28.74,71.04
Telangana,District_34,2017,1061.34,18.47,63.26
Maharashtra,District_9,2012,1771.62,28.8,72.86
Andhra Pradesh,District_44,2022,1055.83,39.78,53.11
Madhya Pradesh,District_50,2015,585.81,35.59,48.56
Tamil Nadu,District_3,2015,975.54,19.55,40.68
Andhra Pradesh,District_30,2020,878.04,32.41,70.1
Madhya Pradesh,District_19,2011,966.7,28.14,89.04
Telangana,District_31,2011,1419.65,36.18,61.02
Maharashtra,District_16,2010,1416.76,20.17,50.63
Andhra Pradesh,District_43,2018,682.33,23.12,40.66
Punjab,District_24,2010,837.08,35.41,65.64
Karnataka,District_15,2022,1312.1,36.68,89.64
Madhya Pradesh,District_22,2022,443.02,29.64,89.19
Madhya Pradesh,District_32,2015,1470.73,18.43,45.07
Telangana,District_11,2021,604.12,37.66,80.82
Maharashtra,District_29,2018,1746.21,26.42,48.67
Telangana,District_42,2015,982.7,18.87,80.47
Telangana,District_24,2020,675.37,36.01,82.68
Madhya Pradesh,District_19,2015,1435.29,27.2,40.39
Andhra Pradesh,District_5,2013,1241.85,22.18,51.86
Andhra Pradesh,District_46,2014,592.29,35.63,42.83
Karnataka,District_41,2022,1706.17,28.07,64.95
Tamil Nadu,District_38,2010,1070.59,31.37,41.34
Karnataka,District_1,2012,558.82,36.11,71.3
Punjab,District_30,2020,1653.51,29.49,67.92
Madhya Pradesh,District_12,2015,526.84,20.43,58.97
Maharashtra,District_46,2011,1945.67,39.2,63.09
Uttar Pradesh,District_4,2010,1051.08,24.3,89.5
Maharashtra,District_15,2022,1537.98,39.87,48.38
Telangana,District_17,2010,1068.35,18.13,76.55
Andhra Pradesh,District_12,2023,618.86,28.64,72.27
Telangana,District_1,2010,1588.79,33.51,73.18
Tamil Nadu,District_13,2019,791.91,37.94,57.29
Telangana,District_30,2019,1460.11,35.17,50.82
Punjab,District_10,2021,737.53,23.62,72.54
Maharashtra,District_36,2010,709.88,23.35,85.64
Punjab,District_6,2022,1077.66,25.84,88.8
Maharashtra,District_9,2015,1687.61,20.43,64.05
Punjab,District_50,2023,1343.18,32.73,61.28
Karnataka,District_2,2019,409.94,38.71,57.45
Uttar Pradesh,District_6,2013,1547.57,32.13,80.5
Madhya Pradesh,District_11,2013,1285.61,29.73,52.77
Punjab,District_26,2023,1360.06,29.07,65.65
Telangana,District_28,2013,901.08,31.04,57.25
Madhya Pradesh,District_13,2017,1245.47,33.63,83.79
Andhra Pradesh,District_38,2016,932.21,35.49,54.13
Tamil Nadu,District_12,2014,438.56,33.36,74.32
Tamil Nadu,District_19,2023,1735.53,33.51,69.44
Punjab,District_18,2024,1452.65,38.94,56.42
Andhra Pradesh,District_19,2016,1439.75,37.79,52.74
Tamil Nadu,District_28,2017,629.25,36.13,80.19
Punjab,District_12,2019,1428.11,18.95,65.53
Punjab,District_32,2017,694.45,32.72,70.57
Andhra Pradesh,District_13,2020,1468.81,28.01,88.1
Andhra Pradesh,District_23,2016,867.0,31.59,59.9
Karnataka,District_36,2016,567.77,33.1,80.71
Punjab,District_30,2022,1840.65,33.72,71.94
Telangana,District_22,2023,477.91,37.13,69.68
Madhya Pradesh,District_38,2018,1595.04,38.02,42.73
Maharashtra,District_45,2020,473.02,31.35,85.62
Maharashtra,District_42,2024,1464.02,37.67,51.43
Punjab,District_3,2024,487.66,34.82,63.66
Telangana,District_9,2014,1165.0,22.46,77.6
Tamil Nadu,District_15,2017,619.59,18.78,66.12
Uttar Pradesh,District_30,2011,1773.19,18.22,40.22
Andhra Pradesh,District_26,2021,982.52,30.91,87.45
Maharashtra,District_30,2024,326.22,29.48,41.02
Karnataka,District_5,2022,1367.87,33.32,44.5
Tamil Nadu,District_31,2017,1056.74,36.54,51.21
Madhya Pradesh,District_22,2010,1761.56,21.62,69.95
Karnataka,District_41,2018,1036.35,36.84,88.56
Maharashtra,District_15,2010,998.94,20.16,86.13
Telangana,District_45,2023,1071.96,37.43,72.57
Telangana,District_35,2017,1761.75,36.71,77.08
Karnataka,District_19,2024,1297.6,33.33,75.59
Punjab,District_34,2012,1437.92,24.6,74.35
Tamil Nadu,District_18,2023,1524.7,20.06,80.62
Maharashtra,District_14,2013,1893.78,35.12,56.99
Andhra Pradesh,District_22,2024,1723.79,22.79,51.06
Telangana,District_24,2022,1876.38,27.7,57.38
Karnataka,District_13,2020,883.62,29.68,42.43
Uttar Pradesh,District_8,2022,665.23,33.08,88.35
Madhya Pradesh,District_42,2019,645.76,28.72,76.98
Maharashtra,District_2,2016,1758.26,33.28,50.67
Tamil Nadu,District_42,2024,1712.01,35.91,52.79
Punjab,District_27,2019,1405.7,33.69,89.63
Andhra Pradesh,District_34,2022,407.0,24.59,78.41
Madhya Pradesh,District_29,2012,840.68,37.67,61.28
Andhra Pradesh,District_26,2018,1548.14,30.11,50.33
Punjab,District_23,2012,722.57,28.24,42.02
Telangana,District_36,2017,1360.9,30.65,73.47
Andhra Pradesh,District_9,2017,1222.66,28.63,79.0
Maharashtra,District_21,2023,746.54,34.61,45.39
Telangana,District_42,2012,1888.37,27.25,40.12
Telangana,District_36,2022,736.46,35.09,57.87
Telangana,District_3,2012,1821.14,34.72,73.37
Punjab,District_7,2019,1219.58,24.09,86.19
Uttar Pradesh,District_23,2014,456.11,20.11,83.98
Maharashtra,District_32,2017,1717.16,36.72,74.43
Karnataka,District_23,2015,1645.43,21.72,80.7
Madhya Pradesh,District_16,2014,1712.66,18.69,57.79
Madhya Pradesh,District_5,2014,1384.85,26.85,52.26
Andhra Pradesh,District_13,2020,1509.75,23.59,46.21
Andhra Pradesh,District_10,2021,1842.0,22.85,49.08
Karnataka,District_2,2015,517.09,21.79,88.15
Telangana,District_16,2017,441.16,34.48,86.5
Madhya Pradesh,District_1,2015,512.63,35.24,42.35
Tamil Nadu,District_6,2016,1779.12,19.02,63.5
Maharashtra,District_19,2018,1256.99,30.03,58.67
Telangana,District_33,2016,599.31,20.97,72.59
Telangana,District_28,2023,540.91,28.99,56.42
Telangana,District_5,2018,1057.22,25.65,54.03
Andhra Pradesh,District_12,2019,1686.75,22.44,80.46
Punjab,District_30,2022,1668.8,38.86,87.36
Punjab,District_17,2010,1747.13,39.05,50.14
Uttar Pradesh,District_19,2012,1607.21,30.41,51.76
Punjab,District_40,2015,404.75,22.14,60.96
Andhra Pradesh,District_42,2024,1524.28,30.83,75.32
Punjab,District_25,2012,1182.23,38.43,48.35
Tamil Nadu,District_35,2020,1534.9,26.31,63.4
Maharashtra,District_9,2023,1123.28,21.03,82.04
Uttar Pradesh,District_32,2011,1122.02,33.26,51.7
Telangana,District_39,2014,514.43,32.44,42.38
Madhya Pradesh,District_38,2010,1838.88,18.03,85.34
Uttar Pradesh,District_15,2014,936.86,36.78,79.38
Punjab,District_45,2022,1290.04,32.54,74.94
Uttar Pradesh,District_46,2020,652.17,22.31,44.37
Uttar Pradesh,District_37,2017,927.11,18.07,84.97
Andhra Pradesh,District_26,2018,1779.98,39.39,55.26
Karnataka,District_31,2019,656.32,34.6,50.57
Andhra Pradesh,District_30,2022,650.38,26.03,64.37
Telangana,District_2,2015,742.85,27.52,86.14
Telangana,District_7,2013,1276.92,29.85,89.73
Andhra Pradesh,District_30,2012,1185.17,33.81,70.71
Madhya Pradesh,District_33,2017,598.05,21.8,87.78
Karnataka,District_48,2021,1476.35,22.31,62.67
Karnataka,District_39,2024,1842.82,19.06,41.48
Uttar Pradesh,District_47,2011,638.01,39.69,53.78
Telangana,District_38,2017,1444.02,37.26,55.09
Uttar Pradesh,District_20,2016,1296.85,30.17,79.14
Andhra Pradesh,District_19,2011,859.2,27.47,46.21
Madhya Pradesh,District_9,2011,1350.31,23.22,48.75
Maharashtra,District_22,2011,656.85,31.09,70.71
Madhya Pradesh,District_32,2024,1717.72,33.19,46.53
Maharashtra,District_30,2010,337.76,33.16,64.78
Telangana,District_6,2016,1264.01,18.14,41.75
Karnataka,District_17,2017,841.93,33.44,73.44
Maharashtra,District_37,2016,1798.31,37.06,85.42
Andhra Pradesh,District_15,2024,1148.92,20.53,83.74
Uttar Pradesh,District_7,2013,1664.23,34.62,43.68
Tamil Nadu,District_14,2020,1870.49,36.11,69.55
Tamil Nadu,District_20,2024,868.39,24.08,45.19
Karnataka,District_30,2021,1796.58,33.67,42.68
Punjab,District_18,2018,1534.67,20.13,70.52
Tamil Nadu,District_22,2022,483.9,32.28,68.62
Andhra Pradesh,District_25,2011,476.66,29.23,44.69
Punjab,District_24,2014,1689.49,36.7,57.99
Telangana,District_31,2024,1096.14,27.94,55.83
Telangana,District_49,2011,1141.76,27.42,57.12
Andhra Pradesh,District_18,2012,1815.12,38.54,56.66
Telangana,District_34,2011,1836.47,38.55,81.23
Andhra Pradesh,District_18,2017,491.6,18.79,57.68
Andhra Pradesh,District_14,2024,935.2,28.68,56.52
Tamil Nadu,District_4,2019,1821.89,21.54,41.48
Punjab,District_7,2023,1693.75,24.02,79.52
Tamil Nadu,District_7,2022,1525.71,32.66,72.99
Karnataka,District_1,2015,473.34,20.84,57.07
Tamil Nadu,District_40,2014,1356.03,18.25,62.59
Telangana,District_24,2014,1289.15,34.0,79.7
Punjab,District_32,2018,584.18,32.11,57.21
Tamil Nadu,District_10,2011,1615.56,37.86,63.67
Andhra Pradesh,District_9,2022,830.36,29.93,40.99
Tamil Nadu,District_39,2010,1355.06,38.8,85.92
Madhya Pradesh,District_3,2015,915.12,31.4,58.56
Telangana,District_44,2017,443.47,26.52,54.82
Karnataka,District_35,2017,1192.15,31.39,70.46
Punjab,District_5,2015,821.29,34.48,66.33
Maharashtra,District_7,2012,421.23,25.65,60.05
Punjab,District_12,2012,637.47,26.2,86.12
Andhra Pradesh,District_23,2011,1352.05,31.86,58.15
Telangana,District_25,2022,472.35,28.02,89.92
Telangana,District_17,2011,448.69,29.59,79.46
Uttar Pradesh,District_14,2011,1904.84,39.61,85.17
Maharashtra,District_35,2016,482.79,18.96,54.14
Karnataka,District_1,2024,939.3,32.25,43.51
Madhya Pradesh,District_22,2019,526.8,38.3,60.96
Andhra Pradesh,District_28,2018,1896.76,23.2,55.67
Karnataka,District_23,2019,1117.97,22.66,43.03
Madhya Pradesh,District_18,2023,488.9,25.99,43.57
Maharashtra,District_46,2020,1606.99,19.63,48.71
Andhra Pradesh,District_45,2022,1627.34,30.33,58.89
Tamil Nadu,District_44,2016,1832.04,32.2,86.76
Karnataka,District_37,2021,1499.61,36.04,72.89
Tamil Nadu,District_3,2017,393.02,19.46,59.92
Andhra Pradesh,District_14,2021,1235.53,27.6,79.97
Maharashtra,District_39,2021,952.87,35.25,68.42
Madhya Pradesh,District_7,2014,1572.59,34.9,60.87
Tamil Nadu,District_17,2011,1304.58,19.62,47.22
Madhya Pradesh,District_6,2023,1532.84,18.25,86.35
Madhya Pradesh,District_47,2017,606.75,35.23,71.19
Tamil Nadu,District_19,2014,1043.02,21.04,61.96
Telangana,District_15,2022,1034.58,30.71,61.91
Andhra Pradesh,District_39,2023,1967.66,20.07,78.25
Punjab,District_5,2018,332.49,24.5,48.97
Maharashtra,District_15,2015,1687.27,21.48,60.88
Madhya Pradesh,District_45,2022,465.09,34.2,43.15
Telangana,District_26,2016,436.64,32.8,44.0
Karnataka,District_39,2010,857.9,20.98,66.31
Maharashtra,District_45,2017,1491.3,19.31,59.04
Uttar Pradesh,District_13,2016,1453.36,28.26,75.98
Telangana,District_31,2016,1367.4,22.3,89.34
Uttar Pradesh,District_13,2016,1616.74,18.18,82.97
Karnataka,District_23,2024,695.04,23.81,62.09
Uttar Pradesh,District_40,2016,1377.54,22.74,58.89
Maharashtra,District_32,2024,1384.66,33.07,69.25
Telangana,District_37,2020,1412.37,36.94,44.58
Maharashtra,District_4,2010,1310.57,23.23,89.38
Tamil Nadu,District_17,2021,676.59,22.91,89.05
Madhya Pradesh,District_20,2018,1854.31,26.53,86.15
Telangana,District_46,2016,1959.21,21.8,73.11
Tamil Nadu,District_11,2016,1471.62,38.83,65.16
Telangana,District_42,2020,1054.94,23.36,75.33
Tamil Nadu,District_33,2022,1213.22,20.05,55.72
Uttar Pradesh,District_39,2021,484.23,30.25,82.61
Andhra Pradesh,District_6,2010,917.77,29.83,46.73
Tamil Nadu,District_39,2015,1959.43,31.9,80.17
Andhra Pradesh,District_47,2019,1231.13,39.27,83.37
Madhya Pradesh,District_38,2017,1253.07,25.12,48.51
Punjab,District_18,2023,1921.77,25.91,63.93
Maharashtra,District_2,2014,1806.8,25.41,84.58
Uttar Pradesh,District_41,2021,1266.82,31.83,87.96
Karnataka,District_38,2021,757.28,31.29,80.57
Karnataka,District_17,2010,498.78,29.63,87.05
Karnataka,District_24,2022,1768.21,26.02,86.85
Andhra Pradesh,District_30,2014,1864.16,27.41,88.99
Karnataka,District_43,2024,1140.28,35.44,60.67
Karnataka,District_24,2011,460.73,31.4,54.35
Tamil Nadu,District_4,2011,1330.58,33.76,71.65
Punjab,District_7,2013,924.68,24.09,49.44
Madhya Pradesh,District_15,2023,568.36,38.05,67.85
Karnataka,District_30,2021,1862.54,18.77,68.96
Andhra Pradesh,District_29,2020,707.06,31.11,80.32
Tamil Nadu,District_49,2013,1508.97,35.87,58.09
Andhra Pradesh,District_44,2024,1029.94,37.06,70.09
Telangana,District_45,2019,1707.47,25.03,85.16
Karnataka,District_13,2016,1491.42,28.11,61.09
Madhya Pradesh,District_40,2018,509.37,18.77,68.59
Andhra Pradesh,District_39,2020,1064.34,35.37,79.37
Andhra Pradesh,District_29,2021,741.64,20.74,52.48
Madhya Pradesh,District_26,2011,1513.09,27.42,45.17
Madhya Pradesh,District_36,2017,1225.97,39.8,74.09
Madhya Pradesh,District_35,2023,878.31,38.19,58.52
Tamil Nadu,District_49,2017,860.08,25.26,59.08
Telangana,District_48,2020,494.63,22.93,86.5
Telangana,District_19,2017,663.5,23.54,60.39
Karnataka,District_2,2018,1512.89,33.07,87.68
Uttar Pradesh,District_14,2018,1336.84,33.97,45.32
Punjab,District_16,2023,904.51,22.76,57.15
Maharashtra,District_49,2019,1721.4,23.28,74.65
Maharashtra,District_36,2016,1123.5,25.11,46.3
Madhya Pradesh,District_40,2014,1650.54,27.53,59.35
Tamil Nadu,District_41,2016,1628.01,38.18,82.59
Uttar Pradesh,District_31,2023,1741.6,18.58,78.09
Karnataka,District_48,2016,1744.61,32.04,54.11
Tamil Nadu,District_48,2019,1454.41,36.96,57.82
Punjab,District_49,2019,1574.02,33.91,65.25
Karnataka,District_35,2016,1620.74,22.77,76.56
Telangana,District_22,2017,587.57,28.49,47.59
Madhya Pradesh,District_21,2024,810.42,38.03,66.38
Maharashtra,District_28,2011,477.21,20.55,43.67
Andhra Pradesh,District_17,2022,621.93,39.73,59.89
Maharashtra,District_50,2013,1623.09,21.16,49.55
Karnataka,District_18,2021,1910.09,21.13,55.45
Madhya Pradesh,District_32,2018,1445.18,35.88,56.57
Uttar Pradesh,District_23,2013,1806.28,36.22,78.51
Madhya Pradesh,District_6,2011,840.56,18.83,53.26
Punjab,District_29,2016,1737.85,21.7,73.19
Maharashtra,District_6,2015,875.94,38.87,66.66
Andhra Pradesh,District_33,2013,1820.08,24.15,80.21
Telangana,District_48,2022,1656.68,18.27,56.08
Telangana,District_32,2017,1972.12,23.59,89.73
Karnataka,District_17,2015,1706.36,34.18,54.79
Maharashtra,District_4,2017,976.96,38.16,68.98
Karnataka,District_48,2013,487.14,21.41,71.61
Maharashtra,District_31,2011,1786.26,22.94,66.91
Uttar Pradesh,District_22,2021,1271.02,27.71,82.94
Tamil Nadu,District_27,2015,1758.84,34.46,45.65
Karnataka,District_21,2018,958.12,32.49,69.86
Maharashtra,District_20,2021,349.21,25.21,65.32
Tamil Nadu,District_34,2018,389.11,19.46,60.86
Uttar Pradesh,District_23,2024,1439.85,23.57,57.31
Karnataka,District_44,2020,494.59,22.83,47.64
Uttar Pradesh,District_16,2022,1567.29,18.46,72.5
Telangana,District_6,2018,1013.05,39.45,45.89
Madhya Pradesh,District_16,2023,1257.28,23.62,81.46
Punjab,District_7,2012,1662.06,36.4,62.39
Tamil Nadu,District_14,2012,730.22,28.67,70.27
Uttar Pradesh,District_3,2019,1001.93,39.39,43.89
Karnataka,District_33,2012,1540.25,21.29,44.67
Andhra Pradesh,District_49,2014,1861.33,20.43,51.8
Punjab,District_36,2014,793.51,18.05,78.99
Telangana,District_39,2022,1358.63,33.81,64.29
Punjab,District_29,2014,1917.06,24.74,55.54
Punjab,District_39,2017,1403.05,37.15,82.47
Tamil Nadu,District_4,2019,1817.74,31.94,49.6
Maharashtra,District_39,2021,1897.54,30.7,52.97
Andhra Pradesh,District_40,2017,1879.88,28.71,78.84
Maharashtra,District_41,2024,1589.41,23.68,41.35
Madhya Pradesh,District_22,2023,1238.56,19.42,51.02
Punjab,District_15,2017,464.48,27.76,66.07
Andhra Pradesh,District_4,2023,678.6,20.18,85.75
